"","LanguageLong","total","Percentage"
"1","English",1280077637,64.488111308737
"2","Spanish; Castilian",254429109,12.8177012293003
"3","Portuguese",90784205,4.57355221893873
"4","Bahasa",61413182,3.09389055957684
"5","French",58373268,2.94074491689502
"6","Other",48081331,2.4222548193772
"7","German",30239918,1.52343509610978
"8","Thai",24236425,1.22098943685074
"9","Japanese",23644547,1.19117164045939
"10","Italian",20572699,1.03641721774188
"11","Hindi",17533905,0.883327998735142
"12","Turkish",16844078,0.848575700066736
"13","Dutch; Flemish",11161352,0.562289730971993
"14","Tagalog",10040725,0.505834468710759
"15","Catalan; Valencian",7028109,0.354064052352425
"16","Polish",3476164,0.175123167907842
"17","Arabic",2493455,0.125615977449754
"18","Tamil",2382148,0.120008522090825
"19","Russian",2315074,0.11662944924954
"20","Chinese",2021032,0.101816118653528
"21","Korean",1713175,0.0863068121010737
"22","Greek, Modern (1453-)",1697265,0.0855052936452662
"23","Estonian",1489730,0.0750500370314373
"24","Swedish",1205396,0.0607257787904831
"25","Czech",1014767,0.0511222174006569
"26","Romanian; Moldavian; Moldovan",973085,0.04902234987866
"27","Urdu",910551,0.0458719944345702
"28","Marathi",866393,0.043647390288024
"29","Haitian; Haitian Creole",765058,0.0385423071504215
"30","Danish",733070,0.0369308066875446
"31","Finnish",722049,0.0363755876491124
"32","Slovenian",477671,0.0240642440165961
"33","Lithuanian",453658,0.0228545103472494
"34","Telugu",447007,0.0225194443981874
"35","Ukrainian",434182,0.0218733429402533
"36","Gujarati",392771,0.0197871279324943
"37","Latvian",368713,0.0185751272404881
"38","Kannada",310854,0.0156602902615712
"39","Persian",303014,0.0152653245360192
"40","Bengali",289895,0.0146044118633769
"41","Norwegian",281712,0.0141921663873321
"42","Welsh",261961,0.0131971449529729
"43","Vietnamese",256831,0.0129387043697993
"44","Basque",246970,0.0124419241376988
"45","Malayalam",201612,0.0101568660535682
"46","Nepali",192639,0.00970482173528025
"47","Oriya",180049,0.00907055917345644
"48","Hungarian",149224,0.00751764865175515
"49","Burmese",91002,0.00458452435671891
"50","Panjabi; Punjabi",90407,0.00455454927933327
"51","Serbian",67595,0.00340531992585234
"52","Icelandic",66376,0.00334390880092277
"53","Bulgarian",59949,0.00302012758687657
"54","Sinhala; Sinhalese",59408,0.00299287293668224
"55","Amharic",15158,0.000763633988254601
"56","Divehi; Dhivehi; Maldivian",13126,0.000661265320611551
"57","Pushto; Pashto",10347,0.000521264076822164
"58","Armenian",5955,0.000300002665262973
"59","Central Khmer",4870,0.000245342230030341
"60","Georgian",3830,0.000192948817457126
"61","Sindhi",3709,0.000186853045417358
"62","Lao",2259,0.00011380453750278
"63","Tibetan",486,2.44838447217137e-05
"64","Uighur; Uyghur",223,1.12343567344489e-05
