"","V4","total"
"1","@realDonaldTrump",14106218
"2","@realdonaldtrump",7159966
"3","@mippcivzla",4217090
"4","@joebiden",3449360
"5","@narendramodi",3085638
"6","@JoeBiden",1901092
"7","@potus",1208601
"8","@nicolasmaduro",904206
"9","@DrRPNishank",872180
"10","@vtvcanal8",804438
"11","@aoc",697412
"12","@drdavidsamadi",680041
"13","@CNN",679706
"14","@kamalaharris",604068
"15","@drericding",598861
"16","@LicypriyaK",579101
"17","@ProjectLincoln",535328
"18","@WHO",517395
"19","@kkmputrajaya",498827
"20","@pmoindia",479020
"21","@rahulgandhi",422124
"22","@RealJamesWoods",355196
"23","@NYGovCuomo",321033
"24","@Swamy39",319706
"25","@charliekirk11",308279
"26","@kylegriffin1",304349
"27","@BarackObama",273669
"28","@DrTedros",266338
"29","@flotus",259076
"30","@BernieSanders",234491
"31","@elonmusk",230583
"32","@OHmes2",227711
"33","@ConflitsFR",224356
"34","@btstwt",224355
"35","@jackposobiec",209893
"36","@unicef",208177
"37","@drrpnishank",207663
"38","@KamalaHarris",207473
"39","@Ibraofficial",207316
"40","@nytimes",204905
"41","@rexchapman",193994
"42","@tarak9999",191674
"43","@realcandaceo",186656
"44","@RealCandaceO",164374
"45","@AOC",163899
"46","@spectatorindex",163827
"47","@lopezobrador",159329
"48","@BrynnTannehill",154632
"49","@zornitsaxx",154615
"50","@skaijackson",152123
"51","@ohmes2",151758
"52","@PMOIndia",149552
"53","@sheriantoinette",148799
"54","@donaldjtrumpjr",147443
"55","@BTStwt",144579
"56","@angelicaxval",144571
"57","@MikelJollett",143077
"58","@funder",142855
"59","@RahulGandhi",142265
"60","@dghisham",135550
"61","@stfunell",134474
"62","@ASlavitt",131967
"63","@tedlieu",131829
"64","@biondiewasabi",130084
"65","@projectlincoln",127103
"66","@AISAtweets",126978
"67","@ossoff",125079
"68","@KKMPutrajaya",124210
"69","@yzngangel",121432
"70","@unicefchief",121252
"71","@rbreich",117715
"72","@stevenzequ",115899
"73","@donwinslow",115612
"74","@wewantMor",114172
"75","@KILLBILLEVOL1",113243
"76","@Fayemous",112354
"77","@theogdc",111126
"78","@ani",110586
"79","@demetriachavon",108476
"80","@repkatieporter",107733
"81","@mxwxzz",107030
"82","@mediavenir",106905
"83","@bgluckman",105157
"84","@lindseygrahamsc",104396
"85","@danamoralesss",104297
"86","@gregabbotttx",104199
"87","@rekszn",103570
"88","@wendizzle",103011
"89","@theepex",100835
"90","@realjameswoods",99943
"91","@BT21",99262
"92","@riotwaltz",98842
"93","@clownlito",98827
"94","@miriamh13",96246
"95","@repjayapal",95344
"96","@505eunice",94156
"97","@rudygiuliani",93908
"98","@khunneung137",92718
"99","@jocehfk",91342
"100","@ZackBornstein",90997
"101","@eugenegu",90932
"102","@bighitent",90380
"103","@curtisisbooger",90000
"104","@Abdulmir19",89834
"105","@theprincedylan",89725
"106","@RJXXIV",89499
"107","@CamealAshley",89004
"108","@migizikwe",88989
"109","@nickwiger",88927
"110","@HeavenSentMel",87053
"111","@SrBachchan",86853
"112","@MatthewACherry",86599
"113","@allareblessed",86382
"114","@JackPosobiec",86043
"115","@intothebrush",85848
"116","@moonriver365",85717
"117","@washikirei",85241
"118","@buhrooke",83531
"119","@alsoto7",82605
"120","@sugaplumami",82555
"121","@yagirlkat",82238
"122","@naomusiker",80809
"123","@emaperidol",80555
"124","@KyleKulinski",80390
"125","@llinwood",80278
"126","@Tgiferb",80271
"127","@BrianduNord",80022
"128","@SandeepSaurav",79285
"129","@alfredodelmazo",78772
"130","@jimjordan",78092
"131","@maddow",77894
"132","@mhdksafa",77882
"133","@danpriceseattle",77831
"134","@itsdryx",77638
"135","@erictile",76850
"136","@choloabel",76668
"137","@jrnalll",76585
"138","@jodidoering",76477
"139","@jenniferjjacobs",76472
"140","@DatMichCray",75982
"141","@khetithegreat",75908
"142","@ilneroback",75859
"143","@CoachJustice10",75769
"144","@goldoveries",75664
"145","@hlgatell",74986
"146","@mrgoya01",74980
"147","@cxrpxe",74751
"148","@valeriatapia",74439
"149","@marinarasawce",74292
"150","@fvrnandaa",74281
"151","@JudahTheSimp",74141
"152","@alanaauston",73817
"153","@matthancock",72734
"154","@officialplt",72343
"155","@f8th",72293
"156","@lexilulu",71668
"157","@saysthefox",71460
"158","@jennidigital",70537
"159","@whitehouse",70366
"160","@bassbarbie182",70150
"161","@berniesanders",69204
"162","@KanganaTeam",69070
"163","@BorisJohnson",69044
"164","@DanRather",68297
"165","@siwuol",67330
"166","@paulsperry",67269
"167","@kingdeficit",67178
"168","@zachnm",66891
"169","@ishathepoet",66814
"170","@drsimonegold",66404
"171","@MK813",66328
"172","@kiranxx",66067
"173","@oscaardiaz",65958
"174","@ellorysmith",65693
"175","@chancsmith",65229
"176","@vp",64930
"177","@forensictoxguy",64927
"178","@Loeybug",64753
"179","@mitsurutenma",64497
"180","@jemelehill",64321
"181","@bcraigv",63819
"182","@eyekon131",63249
"183","@danhaelle",63199
"184","@birdexecutive",63086
"185","@dcmadness202",63011
"186","@nyshuffler",62918
"187","@DaniOliver",62577
"188","@JJMaples55MST",62326
"189","@PlainJanie",61957
"190","@DGHisham",61892
"191","@edmcupid",61757
"192","@stellaimmanuel",61735
"193","@borisjohnson",61498
"194","@kynjoy",61484
"195","@radseed",61457
"196","@danaoneika",61075
"197","@volinxx",60986
"198","@nicolecoyle5",60693
"199","@diayannna",60577
"200","@mkstalin",60532
"201","@Ixyaaa",59754
"202","@Toniob38",59561
"203","@BladeHalll",59272
"204","@offchainon",59176
"205","@KBSeauxluxe",59064
"206","@thegallowboob",58535
"207","@yoyotrav",58174
"208","@adoraIbe",58080
"209","@PiyushGoyal",58001
"210","@60minutes",57823
"211","@rofnl",57360
"212","@helloalegria",57319
"213","@omithewaffler",57242
"214","@bestofmarshall",57193
"215","@marcorubio",57187
"216","@cnn",57036
"217","@justwinnie",56960
"218","@coastaleddylb",56786
"219","@WITCHTRlALS",56775
"220","@mas1z1",56497
"221","@btstwts",56468
"222","@beyabean",56393
"223","@btsbighit",56185
"224","@EMRESUS",55961
"225","@AlexEdelman",55875
"226","@ifpiorg",55623
"227","@itsma",55275
"228","@IAMJADEJACKSON",55203
"229","@peytnhaag",55088
"230","@joeltkl",54838
"231","@UN",54780
"232","@HypNADic",54743
"233","@halldrunkface",54685
"234","@benoobrown",54599
"235","@bluebluwhale",54385
"236","@tevonblair",54187
"237","@RexChapman",54167
"238","@thinkpositiveal",54139
"239","@duttypaul",54056
"240","@ProjectJosiee",54055
"241","@TheRealHazz",53495
"242","@mintitapreview",53475
"243","@adazzlinhaze",53378
"244","@jordanklepper",53108
"245","@ampizzzle",52398
"246","@slothanova",52397
"247","@KatlynMarie06",52259
"248","@Heavenlyxoxo",52056
"249","@addien90",52033
"250","@lylaconni",52026
"251","@thebklynvillain",51758
"252","@wizkidayo",51688
"253","@TuckerCarlson",51520
"254","@firstgentleman",51433
"255","@liamdunne",51071
"256","@dougmar",51025
"257","@mmpadellan",51004
"258","@atrupar",50935
"259","@GEMINI",50930
"260","@th0tcouture",50867
"261","@lincnotfound",50748
"262","@notjoss",50115
"263","@quincyhicks",50053
"264","@iamelmars",49940
"265","@nickteeev",49748
"266","@Sphiamia",49652
"267","@ray14man",49590
"268","@briantylercohen",49311
"269","@b20e",49014
"270","@realhomomarcus",48914
"271","@jreganwilliams",48855
"272","@bobabiss",48826
"273","@pfizer",48727
"274","@masonthisis",48718
"275","@IngrahamAngle",48296
"276","@barackobama",48217
"277","@nanaicez",48052
"278","@7eandra",47966
"279","@jbrous41",47736
"280","@tinnkky",47683
"281","@OlaTinee",47417
"282","@AsiaChloeBrown",47409
"283","@bladehalll",47343
"284","@venieshaaa",47141
