"","Year","Month","Day","Text","Count"
"1",2020,1,29,"china",359290
"2",2020,1,29,"wuhan",119805
"3",2020,1,29,"us",45592
"4",2020,1,29,"australia",22723
"5",2020,1,29,"hong kong",13826
"6",2020,2,29,"china",242483
"7",2020,2,29,"us",172415
"8",2020,2,29,"corona",63641
"9",2020,2,29,"washington",59039
"10",2020,2,29,"iran",54732
"11",2020,4,30,"china",84687
"12",2020,4,30,"us",75665
"13",2020,4,30,"america",32604
"14",2020,4,30,"uk",32545
"15",2020,4,30,"india",19800
"16",2020,7,17,"us",123396
"17",2020,7,17,"florida",92948
"18",2020,7,17,"portland",46916
"19",2020,7,17,"china",42859
"20",2020,7,17,"india",42717
"21",2020,7,20,"us",75040
"22",2020,7,20,"china",61730
"23",2020,7,20,"america",54382
"24",2020,7,20,"florida",42021
"25",2020,7,20,"missouri",36416
"26",2020,7,21,"china",88151
"27",2020,7,21,"us",81204
"28",2020,7,21,"india",40519
"29",2020,7,21,"america",36009
"30",2020,7,21,"florida",31253
"31",2020,7,22,"us",153698
"32",2020,7,22,"china",96977
"33",2020,7,22,"florida",36413
"34",2020,7,22,"new york",36032
"35",2020,7,22,"america",30657
"36",2020,7,23,"us",102869
"37",2020,7,23,"china",79472
"38",2020,7,23,"florida",44555
"39",2020,7,23,"india",41796
"40",2020,7,23,"white house",34249
"41",2020,7,24,"us",83953
"42",2020,7,24,"china",66842
"43",2020,7,24,"florida",51855
"44",2020,7,24,"india",33261
"45",2020,7,24,"texas",28115
"46",2020,7,25,"us",149664
"47",2020,7,25,"china",55105
"48",2020,7,25,"united states",50755
"49",2020,7,25,"florida",46614
"50",2020,7,25,"america",37891
"51",2020,7,26,"florida",91024
"52",2020,7,26,"us",89686
"53",2020,7,26,"china",49111
"54",2020,7,26,"america",46033
"55",2020,7,26,"dallas",33314
"56",2020,7,28,"us",69197
"57",2020,7,28,"america",51232
"58",2020,7,28,"china",34269
"59",2020,7,28,"florida",31664
"60",2020,7,28,"india",26821
"61",2020,7,29,"us",92705
"62",2020,7,29,"america",45016
"63",2020,7,29,"china",37430
"64",2020,7,29,"texas",32906
"65",2020,7,29,"uk",30748
"66",2020,7,30,"us",122868
"67",2020,7,30,"china",63525
"68",2020,7,30,"ohio",47394
"69",2020,7,30,"tulsa",39597
"70",2020,7,30,"texas",32502
"71",2020,7,31,"us",86387
"72",2020,7,31,"china",59226
"73",2020,7,31,"hong kong",42158
"74",2020,7,31,"india",37730
"75",2020,7,31,"uk",26628
"76",2020,8,1,"us",98197
"77",2020,8,1,"united states",76304
"78",2020,8,1,"india",42172
"79",2020,8,1,"america",37695
"80",2020,8,1,"china",32390
"81",2020,8,2,"us",109089
"82",2020,8,2,"china",43498
"83",2020,8,2,"united states",29589
"84",2020,8,2,"india",28410
"85",2020,8,2,"america",27605
"86",2020,8,3,"us",105927
"87",2020,8,3,"china",28066
"88",2020,8,3,"america",22196
"89",2020,8,3,"florida",20432
"90",2020,8,3,"uk",19485
"91",2020,8,4,"us",133335
"92",2020,8,4,"america",33024
"93",2020,8,4,"china",30606
"94",2020,8,4,"india",25032
"95",2020,8,4,"lebanon",22355
"96",2020,8,5,"us",71186
