"","Year","Month","Day","Text","Count"
"1",2020,1,29,"chinese",64841
"2",2020,1,29,"coronavirus",45638
"3",2020,1,29,"asian",34381
"4",2020,1,29,"italian",24281
"5",2020,1,29,"americans",13116
"6",2020,2,29,"coronavirus",366794
"7",2020,2,29,"democrats",90790
"8",2020,2,29,"americans",67294
"9",2020,2,29,"chinese",46323
"10",2020,2,29,"american",32624
"11",2020,4,1,"covid-19",44682
"12",2020,4,1,"coronavirus",36202
"13",2020,4,1,"chinese",19511
"14",2020,4,1,"americans",17005
"15",2020,4,1,"covid19",9926
"16",2020,4,2,"covid-19",87049
"17",2020,4,2,"coronavirus",56427
"18",2020,4,2,"americans",25875
"19",2020,4,2,"chinese",22327
"20",2020,4,2,"covid19",12341
"21",2020,4,5,"covid-19",54958
"22",2020,4,5,"coronavirus",50330
"23",2020,4,5,"chinese",21796
"24",2020,4,5,"americans",17858
"25",2020,4,5,"covid19",10987
"26",2020,4,6,"covid-19",71071
"27",2020,4,6,"coronavirus",52730
"28",2020,4,6,"chinese",19726
"29",2020,4,6,"americans",15664
"30",2020,4,6,"covid19",11514
"31",2020,4,7,"covid-19",69245
"32",2020,4,7,"coronavirus",46805
"33",2020,4,7,"chinese",23313
"34",2020,4,7,"americans",15237
"35",2020,4,7,"covid19",14618
"36",2020,4,8,"covid-19",52317
"37",2020,4,8,"coronavirus",35414
"38",2020,4,8,"chinese",17735
"39",2020,4,8,"americans",13667
"40",2020,4,8,"covid19",13295
"41",2020,4,9,"covid-19",42736
"42",2020,4,9,"coronavirus",26336
"43",2020,4,9,"americans",19351
"44",2020,4,9,"chinese",13740
"45",2020,4,9,"democrats",13409
"46",2020,4,10,"covid-19",72903
"47",2020,4,10,"coronavirus",42656
"48",2020,4,10,"americans",29526
"49",2020,4,10,"chinese",29257
"50",2020,4,10,"american",22228
"51",2020,4,11,"covid-19",57393
"52",2020,4,11,"coronavirus",51692
"53",2020,4,11,"chinese",41078
"54",2020,4,11,"americans",29289
"55",2020,4,11,"american",15212
"56",2020,4,12,"covid-19",46390
"57",2020,4,12,"coronavirus",44403
"58",2020,4,12,"chinese",34788
"59",2020,4,12,"americans",18701
"60",2020,4,12,"american",8971
"61",2020,4,13,"covid-19",66660
"62",2020,4,13,"coronavirus",39220
"63",2020,4,13,"chinese",32657
"64",2020,4,13,"americans",24087
"65",2020,4,13,"covid19",9538
"66",2020,4,14,"covid-19",110228
"67",2020,4,14,"coronavirus",46634
"68",2020,4,14,"chinese",26399
"69",2020,4,14,"americans",19092
"70",2020,4,14,"covid19",11869
"71",2020,4,15,"covid-19",74319
"72",2020,4,15,"coronavirus",44330
"73",2020,4,15,"chinese",33222
"74",2020,4,15,"americans",25025
"75",2020,4,15,"covid19",15017
"76",2020,4,16,"covid-19",78883
"77",2020,4,16,"coronavirus",45202
"78",2020,4,16,"chinese",32241
"79",2020,4,16,"americans",23703
"80",2020,4,16,"covid19",14649
"81",2020,4,17,"covid-19",78684
"82",2020,4,17,"coronavirus",37322
"83",2020,4,17,"americans",26164
"84",2020,4,17,"chinese",23941
"85",2020,4,17,"american",13813
"86",2020,4,18,"covid-19",66359
"87",2020,4,18,"coronavirus",43088
"88",2020,4,18,"americans",21460
"89",2020,4,18,"chinese",15508
"90",2020,4,18,"covid19",12106
"91",2020,4,19,"covid-19",66284
"92",2020,4,19,"coronavirus",56498
"93",2020,4,19,"americans",28080
"94",2020,4,19,"chinese",23786
"95",2020,4,19,"one world",14609
"96",2020,4,20,"covid-19",87845
"97",2020,4,20,"coronavirus",42098
"98",2020,4,20,"americans",26960
"99",2020,4,20,"chinese",22622
"100",2020,4,20,"american",13043
"101",2020,4,21,"covid-19",13204
"102",2020,4,21,"coronavirus",9252
"103",2020,4,21,"americans",8465
"104",2020,4,21,"covid19",6776
"105",2020,4,21,"chinese",4165
"106",2020,4,22,"covid-19",68151
"107",2020,4,22,"coronavirus",41802
"108",2020,4,22,"americans",23326
"109",2020,4,22,"chinese",17192
"110",2020,4,22,"covid19",15596
"111",2020,4,23,"covid-19",72617
"112",2020,4,23,"coronavirus",46911
"113",2020,4,23,"americans",26345
"114",2020,4,23,"democrats",20811
"115",2020,4,23,"chinese",16674
"116",2020,4,24,"covid-19",88831
"117",2020,4,24,"coronavirus",65250
"118",2020,4,24,"americans",26647
"119",2020,4,24,"democrats",16780
"120",2020,4,24,"rep",15637
"121",2020,4,25,"covid-19",81406
"122",2020,4,25,"coronavirus",63684
"123",2020,4,25,"americans",27690
"124",2020,4,25,"covid19",26599
"125",2020,4,25,"democrats",24992
"126",2020,4,26,"covid-19",72723
"127",2020,4,26,"coronavirus",64263
"128",2020,4,26,"americans",44356
"129",2020,4,26,"democrats",30137
"130",2020,4,26,"chinese",20258
"131",2020,4,27,"covid-19",89615
"132",2020,4,27,"coronavirus",70648
"133",2020,4,27,"americans",45359
"134",2020,4,27,"chinese",28350
"135",2020,4,27,"american",22818
"136",2020,4,28,"covid-19",73149
"137",2020,4,28,"coronavirus",38446
"138",2020,4,28,"americans",24826
"139",2020,4,28,"covid",18104
"140",2020,4,28,"covid19",17236
"141",2020,4,29,"covid-19",51335
"142",2020,4,29,"coronavirus",39264
"143",2020,4,29,"americans",24669
"144",2020,4,29,"chinese",17161
"145",2020,4,29,"covid19",11898
"146",2020,4,30,"covid-19",74781
"147",2020,4,30,"coronavirus",51009
"148",2020,4,30,"americans",29951
"149",2020,4,30,"covid19",17328
"150",2020,4,30,"chinese",16494
"151",2020,5,1,"covid-19",65265
"152",2020,5,1,"coronavirus",51354
"153",2020,5,1,"americans",21835
"154",2020,5,1,"chinese",19722
"155",2020,5,1,"covid19",13709
"156",2020,5,2,"covid-19",68390
"157",2020,5,2,"coronavirus",54205
"158",2020,5,2,"americans",19484
"159",2020,5,2,"chinese",18138
"160",2020,5,2,"covid",11564
"161",2020,5,3,"covid-19",67841
"162",2020,5,3,"coronavirus",66955
"163",2020,5,3,"american",45859
"164",2020,5,3,"americans",28068
"165",2020,5,3,"chinese",16630
"166",2020,5,4,"covid-19",79615
"167",2020,5,4,"coronavirus",79412
"168",2020,5,4,"americans",31708
"169",2020,5,4,"chinese",28247
"170",2020,5,4,"american",21368
"171",2020,5,5,"covid-19",77421
"172",2020,5,5,"coronavirus",14626
"173",2020,5,5,"americans",14444
"174",2020,5,5,"chinese",13697
"175",2020,5,5,"covid19",9743
"176",2020,5,6,"covid-19",94870
"177",2020,5,6,"coronavirus",60710
"178",2020,5,6,"americans",37472
"179",2020,5,6,"american",23656
"180",2020,5,6,"chinese",18232
"181",2020,5,7,"covid-19",108708
"182",2020,5,7,"coronavirus",59672
"183",2020,5,7,"americans",27987
"184",2020,5,7,"chinese",18358
"185",2020,5,7,"covid19",16945
"186",2020,5,8,"covid-19",91193
"187",2020,5,8,"coronavirus",46098
"188",2020,5,8,"democrats",40207
"189",2020,5,8,"chinese",30166
"190",2020,5,8,"americans",28248
"191",2020,5,9,"covid-19",84811
"192",2020,5,9,"coronavirus",52560
"193",2020,5,9,"americans",32465
"194",2020,5,9,"chinese",19548
"195",2020,5,9,"covid",16515
"196",2020,5,10,"covid-19",84507
"197",2020,5,10,"coronavirus",60318
"198",2020,5,10,"americans",40653
"199",2020,5,10,"german",21081
"200",2020,5,10,"covid",19458
"201",2020,5,11,"covid-19",108389
"202",2020,5,11,"coronavirus",63073
"203",2020,5,11,"american",38215
"204",2020,5,11,"covid",32980
"205",2020,5,11,"americans",30874
"206",2020,5,12,"covid-19",103251
"207",2020,5,12,"coronavirus",68798
"208",2020,5,12,"americans",53772
"209",2020,5,12,"chinese",28722
"210",2020,5,12,"american",19120
"211",2020,5,13,"americans",91443
"212",2020,5,13,"covid-19",89524
"213",2020,5,13,"coronavirus",52568
"214",2020,5,13,"chinese",22055
"215",2020,5,13,"democrats",20238
"216",2020,5,14,"covid-19",94053
"217",2020,5,14,"americans",51835
"218",2020,5,14,"coronavirus",48373
"219",2020,5,14,"covid19",17573
"220",2020,5,14,"chinese",17293
"221",2020,5,15,"covid-19",97467
"222",2020,5,15,"coronavirus",54716
"223",2020,5,15,"americans",34858
"224",2020,5,15,"covid19",24834
"225",2020,5,15,"democrat",23763
"226",2020,5,16,"covid-19",88328
"227",2020,5,16,"coronavirus",47315
"228",2020,5,16,"americans",33580
"229",2020,5,16,"covid19",20020
"230",2020,5,16,"democrats",19113
"231",2020,5,17,"coronavirus",79835
"232",2020,5,17,"covid-19",75033
"233",2020,5,17,"americans",37243
"234",2020,5,17,"democrats",18200
"235",2020,5,17,"chinese",17284
"236",2020,5,18,"covid-19",94924
"237",2020,5,18,"coronavirus",79705
"238",2020,5,18,"americans",36193
"239",2020,5,18,"american",34100
"240",2020,5,18,"chinese",24513
"241",2020,5,19,"covid-19",118279
"242",2020,5,19,"coronavirus",59072
"243",2020,5,19,"americans",29392
"244",2020,5,19,"chinese",26989
"245",2020,5,19,"covid19",17826
"246",2020,5,20,"covid-19",98932
"247",2020,5,20,"coronavirus",57864
"248",2020,5,20,"virus",48948
"249",2020,5,20,"americans",38912
"250",2020,5,20,"chinese",23246
"251",2020,5,21,"covid-19",87691
"252",2020,5,21,"americans",40324
"253",2020,5,21,"coronavirus",39138
"254",2020,5,21,"chinese",21476
"255",2020,5,21,"democrats",18559
"256",2020,5,22,"covid-19",86557
"257",2020,5,22,"coronavirus",42111
"258",2020,5,22,"americans",32287
"259",2020,5,22,"democrats",19900
"260",2020,5,22,"chinese",17017
"261",2020,5,23,"covid-19",82160
"262",2020,5,23,"coronavirus",39255
"263",2020,5,23,"americans",35036
"264",2020,5,23,"covid",21028
"265",2020,5,23,"democrats",15705
"266",2020,5,24,"covid-19",60781
"267",2020,5,24,"coronavirus",45081
"268",2020,5,24,"americans",38136
"269",2020,5,24,"rigged election",17441
"270",2020,5,24,"covid",13279
"271",2020,5,25,"covid-19",53345
"272",2020,5,25,"coronavirus",48187
"273",2020,5,25,"americans",29061
"274",2020,5,25,"memorial day",28286
"275",2020,5,25,"chinese",16416
"276",2020,5,26,"covid-19",76841
"277",2020,5,26,"coronavirus",43062
"278",2020,5,26,"americans",26911
"279",2020,5,26,"chinese",17965
"280",2020,5,26,"memorial day",17159
"281",2020,5,27,"covid-19",81690
"282",2020,5,27,"coronavirus",38545
"283",2020,5,27,"americans",36147
"284",2020,5,27,"covid",21259
"285",2020,5,27,"democrat",13083
"286",2020,5,28,"covid-19",106625
"287",2020,5,28,"coronavirus",43314
"288",2020,5,28,"americans",39149
"289",2020,5,28,"gop",26287
"290",2020,5,28,"republican",23603
"291",2020,5,29,"asians",105294
"292",2020,5,29,"muslims",105130
"293",2020,5,29,"hispanics",104399
"294",2020,5,29,"covid-19",86296
"295",2020,5,29,"coronavirus",49639
"296",2020,5,30,"mexicans",71650
"297",2020,5,30,"œchinese",70547
"298",2020,5,30,"covid-19",65936
"299",2020,5,30,"chinese",47970
"300",2020,5,30,"coronavirus",38726
"301",2020,5,31,"avenger",55635
"302",2020,5,31,"coronavirus",49672
"303",2020,5,31,"covid-19",47695
"304",2020,5,31,"chinese",24217
"305",2020,5,31,"mexicans",19815
"306",2020,6,1,"covid-19",48760
"307",2020,6,1,"coronavirus",40461
"308",2020,6,1,"democrats",29889
"309",2020,6,1,"ebola",19889
"310",2020,6,1,"chinese",17488
"311",2020,6,2,"covid-19",62377
"312",2020,6,2,"defense production act",33035
"313",2020,6,2,"coronavirus",31007
"314",2020,6,2,"americans",27237
"315",2020,6,2,"american",10901
"316",2020,6,3,"covid-19",63147
"317",2020,6,3,"coronavirus",41395
"318",2020,6,3,"covid",24258
"319",2020,6,3,"americans",14930
"320",2020,6,3,"democrat",13753
"321",2020,6,4,"covid-19",62876
"322",2020,6,4,"coronavirus",35444
"323",2020,6,4,"americans",19140
"324",2020,6,4,"covid",14093
"325",2020,6,4,"covid19",10755
"326",2020,6,5,"covid-19",60502
"327",2020,6,5,"coronavirus",22475
"328",2020,6,5,"americans",16981
"329",2020,6,5,"covid",8527
"330",2020,6,5,"covid19",7952
"331",2020,6,6,"covid-19",50587
"332",2020,6,6,"coronavirus",30191
"333",2020,6,6,"covid19",17237
"334",2020,6,6,"americans",14712
"335",2020,6,6,"covid",13686
"336",2020,6,7,"covid-19",50072
"337",2020,6,7,"coronavirus",28976
"338",2020,6,7,"americans",18351
"339",2020,6,7,"covid",16664
"340",2020,6,7,"covid19",16246
"341",2020,6,8,"covid-19",79632
"342",2020,6,8,"americans",32479
"343",2020,6,8,"coronavirus",29552
"344",2020,6,8,"covid19",20663
"345",2020,6,8,"rting",19329
"346",2020,6,9,"covid-19",76512
"347",2020,6,9,"chinese",45975
"348",2020,6,9,"coronavirus",41963
"349",2020,6,9,"americans",38161
"350",2020,6,9,"korean",35414
"351",2020,6,10,"covid-19",83046
"352",2020,6,10,"coronavirus",34422
"353",2020,6,10,"americans",33415
"354",2020,6,10,"covid19",25401
"355",2020,6,10,"covid-1â",23494
"356",2020,6,11,"covid-19",91911
"357",2020,6,11,"americans",49645
"358",2020,6,11,"coronavirus",42868
"359",2020,6,11,"covid19",35419
"360",2020,6,11,"gop",20732
"361",2020,6,12,"covid-19",69598
"362",2020,6,12,"coronavirus",31848
"363",2020,6,12,"covid19",30817
"364",2020,6,12,"americans",27469
"365",2020,6,12,"trump",23006
"366",2020,6,13,"covid-19",84207
"367",2020,6,13,"americans",45445
"368",2020,6,13,"coronavirus",34345
"369",2020,6,13,"covid19",31446
"370",2020,6,13,"black lives matter",22554
"371",2020,6,14,"covid-19",72675
"372",2020,6,14,"americans",32421
"373",2020,6,14,"coronavirus",26449
"374",2020,6,14,"american",21257
"375",2020,6,14,"covid19",19803
"376",2020,6,15,"covid-19",92234
"377",2020,6,15,"americans",47068
"378",2020,6,15,"coronavirus",43567
"379",2020,6,15,"democrat",30839
"380",2020,6,15,"covid19",24812
"381",2020,6,16,"covid-19",88329
"382",2020,6,16,"americans",42551
"383",2020,6,16,"covid",38354
"384",2020,6,16,"coronavirus",32233
"385",2020,6,16,"covid19",22219
"386",2020,6,17,"covid-19",82421
"387",2020,6,17,"americans",45276
"388",2020,6,17,"coronavirus",36237
"389",2020,6,17,"american",27759
"390",2020,6,17,"chinese",22094
"391",2020,6,18,"covid-19",80935
"392",2020,6,18,"americans",39921
"393",2020,6,18,"coronavirus",34970
"394",2020,6,18,"covid19",27872
"395",2020,6,18,"chinese",23978
"396",2020,6,19,"covid-19",91410
"397",2020,6,19,"coronavirus",34645
"398",2020,6,19,"americans",30153
"399",2020,6,19,"covid19",22736
"400",2020,6,19,"chinese",21215
"401",2020,6,20,"covid-19",80666
"402",2020,6,20,"trump",40730
"403",2020,6,20,"coronavirus",35411
"404",2020,6,20,"americans",29527
"405",2020,6,20,"tulsa rally",23786
"406",2020,6,21,"trump",89452
"407",2020,6,21,"covid-19",86745
"408",2020,6,21,"americans",50482
"409",2020,6,21,"coronavirus",44202
"410",2020,6,21,"chinese",34147
"411",2020,6,22,"covid-19",90034
"412",2020,6,22,"americans",65703
"413",2020,6,22,"coronavirus",34156
"414",2020,6,22,"trump",30327
"415",2020,6,22,"covid19",22597
"416",2020,6,23,"covid-19",168101
"417",2020,6,23,"americans",77204
"418",2020,6,23,"coronavirus",60094
"419",2020,6,23,"covid",33466
"420",2020,6,23,"american",32934
"421",2020,6,24,"covid-19",138928
"422",2020,6,24,"coronavirus",66837
"423",2020,6,24,"black lives",50152
"424",2020,6,24,"americans",46045
"425",2020,6,24,"covid19",26041
"426",2020,6,25,"covid-19",123090
"427",2020,6,25,"americans",66266
"428",2020,6,25,"coronavirus",63303
"429",2020,6,25,"covid19",26327
"430",2020,6,25,"american",20857
"431",2020,6,26,"americans",110629
"432",2020,6,26,"covid-19",95203
"433",2020,6,26,"coronavirus",48638
"434",2020,6,26,"american",36729
"435",2020,6,26,"covid",33969
"436",2020,6,27,"covid-19",108804
"437",2020,6,27,"americans",68404
"438",2020,6,27,"coronavirus",60704
"439",2020,6,27,"american",41435
"440",2020,6,27,"covid19",29939
"441",2020,6,28,"covid-19",95007
"442",2020,6,28,"americans",75230
"443",2020,6,28,"coronavirus",51961
"444",2020,6,28,"covid19",44945
"445",2020,6,28,"american",29814
"446",2020,6,29,"covid-19",115754
"447",2020,6,29,"americans",110541
"448",2020,6,29,"coronavirus",54418
"449",2020,6,29,"covid19",27209
"450",2020,6,29,"covid",19467
"451",2020,6,30,"covid-19",138534
"452",2020,6,30,"americans",76020
"453",2020,6,30,"coronavirus",41980
"454",2020,6,30,"chinese",29601
"455",2020,6,30,"american",29357
"456",2020,7,1,"covid-19",156923
"457",2020,7,1,"americans",69566
"458",2020,7,1,"coronavirus",52101
"459",2020,7,1,"pandemic",29714
"460",2020,7,1,"covid",28337
"461",2020,7,2,"covid-19",173963
"462",2020,7,2,"americans",76641
"463",2020,7,2,"coronavirus",40374
"464",2020,7,2,"american",29176
"465",2020,7,2,"covid19",21915
"466",2020,7,3,"covid-19",134887
"467",2020,7,3,"coronavirus",81378
"468",2020,7,3,"americans",55332
"469",2020,7,3,"covid",25147
"470",2020,7,3,"american",24883
"471",2020,7,4,"covid-19",109194
"472",2020,7,4,"americans",62244
"473",2020,7,4,"coronavirus",48278
"474",2020,7,4,"american",43794
"475",2020,7,4,"covid19",27048
"476",2020,7,5,"covid-19",72841
"477",2020,7,5,"americans",59123
"478",2020,7,5,"coronavirus",44664
