"","Year","Month","Day","Text","Count"
"1",2020,1,29,"british airways",14527
"2",2020,1,29,"cdc",12044
"3",2020,1,29,"huawei",6192
"4",2020,1,29,"super junior",4573
"5",2020,1,29,"senate",4303
"6",2020,2,29,"cdc",85263
"7",2020,2,29,"trump",21850
"8",2020,2,29,"cnn",10748
"9",2020,2,29,"fox news",10374
"10",2020,2,29,"bts",9398
"11",2020,4,30,"nhs",9500
"12",2020,4,30,"cdc",8326
"13",2020,4,30,"trump",8145
"14",2020,4,30,"mask america",6120
"15",2020,4,30,"rbi",4841
"16",2020,7,17,"cdc",261349
"17",2020,7,17,"trump administration",37945
"18",2020,7,17,"trump",23295
"19",2020,7,17,"covid",16382
"20",2020,7,17,"congress",10660
"21",2020,7,20,"cdc",40073
"22",2020,7,20,"united",26909
"23",2020,7,20,"oxford university",21559
"24",2020,7,20,"nba",19382
"25",2020,7,20,"dhr",13197
"26",2020,7,21,"cdc",39031
"27",2020,7,21,"warchilduk",26499
"28",2020,7,21,"eu",19793
"29",2020,7,21,"united",18365
"30",2020,7,21,"fake news",16197
"31",2020,7,22,"cdc",56694
"32",2020,7,22,"pfizer",15747
"33",2020,7,22,"trump",12618
"34",2020,7,22,"eu",10939
"35",2020,7,22,"congress",10045
"36",2020,7,23,"cdc",24335
"37",2020,7,23,"trump",13710
"38",2020,7,23,"fox news",10155
"39",2020,7,23,"senate",10034
"40",2020,7,23,"covid",7686
"41",2020,7,24,"cdc",62056
"42",2020,7,24,"covid-19",18303
"43",2020,7,24,"trump",13325
"44",2020,7,24,"covid",10781
"45",2020,7,24,"paw patrol",10170
"46",2020,7,25,"cdc",43681
"47",2020,7,25,"sinclair broadcast group",27309
"48",2020,7,25,"supreme court",21133
"49",2020,7,25,"sinclair",18772
"50",2020,7,25,"ccp",13525
"51",2020,7,26,"usps",31620
"52",2020,7,26,"cdc",23752
"53",2020,7,26,"goldman sachs",16909
"54",2020,7,26,"bjp",13705
"55",2020,7,26,"yale",11164
"56",2020,7,28,"fbi",51982
"57",2020,7,28,"facebook",43878
"58",2020,7,28,"twitter",39947
"59",2020,7,28,"google",32171
"60",2020,7,28,"covid",29591
"61",2020,7,29,"cdc",26188
"62",2020,7,29,"cnn",23944
"63",2020,7,29,"fbi",17015
"64",2020,7,29,"senate",15543
"65",2020,7,29,"trump",13684
