"","Year","Month","Day","Text","Count"
"1",2020,1,29,"trump",17138
"2",2020,1,29,"ivanka trump",4250
"3",2020,1,29,"god",3649
"4",2020,1,29,"charles lieber",2898
"5",2020,1,29,"obama",2816
"6",2020,2,29,"trump",305605
"7",2020,2,29,"mike pence",25703
"8",2020,2,29,"lewis",23978
"9",2020,2,29,"donald trump",16482
"10",2020,2,29,"anthony fauci",14583
"11",2020,4,30,"trump",77290
"12",2020,4,30,"obama",15116
"13",2020,4,30,"fauci",12419
"14",2020,4,30,"donald trump",9640
"15",2020,4,30,"god",8719
"16",2020,7,1,"trump",122264
"17",2020,7,1,"fauci",44731
"18",2020,7,1,"covid",25195
"19",2020,7,1,"michael hickson",23227
"20",2020,7,1,"miles morales",22741
"21",2020,7,2,"trump",122974
"22",2020,7,2,"herman cain",47506
"23",2020,7,2,"fauci",14497
"24",2020,7,2,"covid",12882
"25",2020,7,2,"acosta",11485
"26",2020,7,3,"trump",126526
"27",2020,7,3,"fauci",37909
"28",2020,7,3,"tim",32221
"29",2020,7,3,"gaga",22270
"30",2020,7,3,"beyoncé",22242
"31",2020,7,4,"trump",130404
"32",2020,7,4,"kimberly guilfoyle",54177
"33",2020,7,4,"donald trump jr",24830
"34",2020,7,4,"donald trump",22866
"35",2020,7,4,"fauci",21994
"36",2020,7,5,"trump",101962
"37",2020,7,5,"obama",35294
"38",2020,7,5,"covid",31954
"39",2020,7,5,"donald trump",19162
"40",2020,7,5,"fauci",15331
"41",2020,7,6,"trump",128169
"42",2020,7,6,"nick cordero",63952
"43",2020,7,6,"donald trump",29848
"44",2020,7,6,"covid",22512
"45",2020,7,6,"obama",20464
"46",2020,7,8,"trump",138857
"47",2020,7,8,"paul manafort",35395
"48",2020,7,8,"michael cohen",33153
"49",2020,7,8,"donald trump",27276
"50",2020,7,8,"fauci",18782
"51",2020,7,9,"trump",124340
"52",2020,7,9,"kneel",42545
"53",2020,7,9,"bow",42540
"54",2020,7,9,"donald trump",39286
"55",2020,7,9,"""""theyl""""",30621
"56",2020,7,10,"trump",97446
"57",2020,7,10,"kneel",44604
"58",2020,7,10,"bow",44584
"59",2020,7,10,"fauci",30006
"60",2020,7,10,"paul manafort",22577
"61",2020,7,11,"trump",87834
"62",2020,7,11,"cristina yang",52255
"63",2020,7,11,"covid",37783
"64",2020,7,11,"fauci",33291
"65",2020,7,11,"god",23161
"66",2020,7,12,"trump",127952
"67",2020,7,12,"fauci",44337
"68",2020,7,12,"donald trump",27366
"69",2020,7,12,"betsy devos",18113
"70",2020,7,12,"covid",17143
"71",2020,7,13,"trump",163236
"72",2020,7,13,"fauci",134941
"73",2020,7,13,"covid",27077
"74",2020,7,13,"ted cruz",25444
"75",2020,7,13,"donald trump",23372
"76",2020,7,14,"trump",132174
"77",2020,7,14,"fauci",67488
"78",2020,7,14,"obama",37915
"79",2020,7,14,"biden",35416
"80",2020,7,14,"covid",27462
"81",2020,7,15,"trump",147636
"82",2020,7,15,"god",47140
"83",2020,7,15,"fauci",45367
"84",2020,7,15,"grubhub",32354
"85",2020,7,15,"biden",21949
"86",2020,7,16,"trump",140817
"87",2020,7,16,"donald",72175
"88",2020,7,16,"kemp",36340
"89",2020,7,16,"fauci",32614
"90",2020,7,16,"brian kemp",27116
"91",2020,7,17,"trump",123099
"92",2020,7,17,"bozo",36420
"93",2020,7,17,"covid",27607
"94",2020,7,17,"johnson",22498
"95",2020,7,17,"fauci",22022
"96",2020,7,18,"trump",92185
"97",2020,7,18,"fauci",26056
"98",2020,7,18,"covid",21868
"99",2020,7,18,"donald trump",12777
"100",2020,7,18,"bozo",11454
"101",2020,7,19,"trump",182819
"102",2020,7,19,"fauci",44129
"103",2020,7,19,"covid",30407
"104",2020,7,19,"chris wallace",27913
"105",2020,7,19,"govkemp",23104
"106",2020,7,20,"trump",146939
"107",2020,7,20,"donald trump",40960
"108",2020,7,20,"fauci",22260
"109",2020,7,20,"covid",13352
"110",2020,7,20,"biden",13239
"111",2020,7,21,"trump",166671
"112",2020,7,21,"mitch",34590
"113",2020,7,21,"fauci",27158
"114",2020,7,21,"tomlinson",26267
"115",2020,7,21,"donald trump",24550
"116",2020,7,22,"trump",163421
"117",2020,7,22,"god",41432
"118",2020,7,22,"cuomo",32485
"119",2020,7,22,"pelosi",27025
"120",2020,7,22,"nancy pelosi",26301
"121",2020,7,23,"trump",163124
"122",2020,7,23,"god",40464
"123",2020,7,23,"rand paul",27379
"124",2020,7,23,"cuomo",27332
"125",2020,7,23,"stephen miller",19590
"126",2020,7,24,"trump",117258
"127",2020,7,24,"fauci",39305
"128",2020,7,24,"god",21293
"129",2020,7,24,"stephen miller",21024
"130",2020,7,24,"barron",19413
"131",2020,7,25,"trump",81802
"132",2020,7,25,"fauci",40016
"133",2020,7,25,"sinclair",15465
"134",2020,7,25,"mcconnell",14326
"135",2020,7,25,"johnson",12311
"136",2020,7,26,"trump",75078
"137",2020,7,26,"chapple",34648
"138",2020,7,26,"god",19602
"139",2020,7,26,"fauci",14667
"140",2020,7,26,"covid",13801
"141",2020,7,28,"trump",113917
"142",2020,7,28,"fauci",47976
"143",2020,7,28,"stella immanuel",45042
"144",2020,7,28,"barr",22656
"145",2020,7,28,"covid",15918
"146",2020,7,29,"trump",120584
"147",2020,7,29,"louie gohmert",67684
"148",2020,7,29,"fauci",41771
"149",2020,7,29,"covid",21920
"150",2020,7,29,"gohmert",21735
"151",2020,7,30,"trump",163315
"152",2020,7,30,"herman cain",141755
"153",2020,7,30,"fauci",50590
"154",2020,7,30,"jollett",42222
"155",2020,7,30,"covid",40507
"156",2020,7,31,"trump",135625
"157",2020,7,31,"fauci",66320
"158",2020,7,31,"herman cain",52731
"159",2020,7,31,"jollett",35234
"160",2020,7,31,"jared kushner",25621
"161",2020,8,1,"trump",142327
"162",2020,8,1,"fauci",35739
"163",2020,8,1,"covid",17733
"164",2020,8,1,"jared kushner",16563
"165",2020,8,1,"donald trump",14686
"166",2020,8,2,"trump",82461
"167",2020,8,2,"fauci",37876
"168",2020,8,2,"amit shah",24212
"169",2020,8,2,"donald trump",24169
"170",2020,8,2,"covid",22107
"171",2020,8,3,"trump",82849
"172",2020,8,3,"fauci",22084
"173",2020,8,3,"covid",17136
"174",2020,8,3,"donald trump",16790
"175",2020,8,3,"amit shah",15864
"176",2020,8,4,"trump",119452
"177",2020,8,4,"donald trump",29961
"178",2020,8,4,"fauci",28138
"179",2020,8,4,"covid",14843
"180",2020,8,4,"bobby kennedy",11034
"181",2020,8,5,"trump",91052
"182",2020,8,5,"donald trump",28825
"183",2020,8,5,"fauci",18942
"184",2020,8,5,"covid",18899
"185",2020,8,5,"acosta",15217
"186",2020,8,6,"trump",109959
"187",2020,8,6,"fauci",25862
"188",2020,8,6,"ted mosby",22849
"189",2020,8,6,"biden",17764
"190",2020,8,6,"donald trump",16026
"191",2020,8,7,"trump",71231
"192",2020,8,7,"shay",36680
"193",2020,8,7,"pelosi",27029
"194",2020,8,7,"covid",24304
"195",2020,8,7,"schumer",20861
"196",2020,8,8,"trump",142095
"197",2020,8,8,"covid",20194
"198",2020,8,8,"pelosi",16572
"199",2020,8,8,"fauci",15515
"200",2020,8,8,"bill gates",13176
"201",2020,8,9,"trump",112268
"202",2020,8,9,"mahesh babu",27019
"203",2020,8,9,"donald trump",25769
"204",2020,8,9,"ss rajamouli",25284
"205",2020,8,9,"fauci",17035
"206",2020,8,10,"trump",120581
"207",2020,8,10,"obama",24879
"208",2020,8,10,"donald trump",22615
"209",2020,8,10,"covid",18673
"210",2020,8,10,"hillary",15544
"211",2020,8,11,"trump",136325
"212",2020,8,11,"putin",45117
"213",2020,8,11,"fauci",38045
"214",2020,8,11,"biden",27581
"215",2020,8,11,"god",23151
"216",2020,8,12,"trump",96884
"217",2020,8,12,"kamala harris",35536
"218",2020,8,12,"donald trump",20721
"219",2020,8,12,"wanyoike",20060
"220",2020,8,12,"god",19412
"221",2020,8,13,"trump",150408
"222",2020,8,13,"biden",34883
"223",2020,8,13,"kamala harris",20319
"224",2020,8,13,"covid",17777
"225",2020,8,13,"stephen smith",14347
"226",2020,8,14,"trump",117658
"227",2020,8,14,"donald trump",33759
"228",2020,8,14,"biden",32357
"229",2020,8,14,"mike pence",24882
"230",2020,8,14,"dolly parton",20439
"231",2020,8,15,"trump",102020
"232",2020,8,15,"donald trump",15086
"233",2020,8,15,"covid",14587
"234",2020,8,15,"obama",14338
"235",2020,8,15,"god",11835
"236",2020,8,16,"trump",92558
"237",2020,8,16,"righ",32698
"238",2020,8,16,"covid",17042
"239",2020,8,16,"donald trump",15277
"240",2020,8,16,"god",10405
"241",2020,8,17,"trump",93674
"242",2020,8,17,"covid",19786
"243",2020,8,17,"saurav",16692
"244",2020,8,17,"cardi",15078
"245",2020,8,17,"biden",13829
"246",2020,8,18,"trump",124121
"247",2020,8,18,"cuomo",82244
"248",2020,8,18,"andrew cuomo",61132
"249",2020,8,18,"donald trump",42635
"250",2020,8,18,"kristin urquiza",28600
"251",2020,8,19,"trump",68633
"252",2020,8,19,"biden",43493
"253",2020,8,19,"cuomo",33131
"254",2020,8,19,"bill clinton",17901
"255",2020,8,19,"covid",14928
"256",2020,8,20,"trump",63026
"257",2020,8,20,"donald trump",27431
"258",2020,8,20,"covid",15646
"259",2020,8,20,"biden",15435
"260",2020,8,20,"saurav",11910
"261",2020,8,21,"trump",55482
"262",2020,8,21,"joe biden",49852
"263",2020,8,21,"biden",48748
"264",2020,8,21,"modi",35683
"265",2020,8,21,"saurav",28586
"266",2020,8,22,"trump",53002
"267",2020,8,22,"biden",36320
"268",2020,8,22,"joe biden",33259
"269",2020,8,22,"covid",20743
"270",2020,8,22,"modi",18930
"271",2020,8,23,"trump",110834
"272",2020,8,23,"biden",34672
"273",2020,8,23,"saurav",25508
"274",2020,8,23,"joe biden",17837
"275",2020,8,23,"modi",13887
"276",2020,8,24,"trump",113195
"277",2020,8,24,"biden",27873
"278",2020,8,24,"joe biden",22750
"279",2020,8,24,"covid",17099
"280",2020,8,24,"donald trump",9767
"281",2020,8,25,"trump",102234
"282",2020,8,25,"donald trump",29359
"283",2020,8,25,"joe biden",29309
"284",2020,8,25,"saurav",27121
"285",2020,8,25,"covid",19552
"286",2020,8,26,"trump",107370
"287",2020,8,26,"fauci",30521
"288",2020,8,26,"donald trump",29605
"289",2020,8,26,"covid",23771
"290",2020,8,26,"larry kudlow",15931
"291",2020,8,27,"trump",155098
"292",2020,8,27,"donald trump",51914
"293",2020,8,27,"fauci",29711
"294",2020,8,27,"pence",29682
"295",2020,8,27,"mike pence",22332
"296",2020,8,28,"trump",194370
"297",2020,8,28,"donald trump",51147
"298",2020,8,28,"biden",30926
"299",2020,8,28,"god",30811
"300",2020,8,28,"acosta",25323
"301",2020,8,29,"trump",101676
"302",2020,8,29,"covid",32798
"303",2020,8,29,"chadwick boseman",26687
"304",2020,8,29,"biden",22935
"305",2020,8,29,"god",11291
"306",2020,8,30,"trump",117485
"307",2020,8,30,"covid",34738
"308",2020,8,30,"chadwick boseman",27990
"309",2020,8,30,"biden",20347
"310",2020,8,30,"modi",11673
"311",2020,8,31,"trump",100218
"312",2020,8,31,"god",53449
"313",2020,8,31,"biden",41488
"314",2020,8,31,"joe biden",24944
"315",2020,8,31,"covid",24501
"316",2020,9,1,"trump",73280
"317",2020,9,1,"schmidt",27335
"318",2020,9,1,"covid",25276
"319",2020,9,1,"biden",23850
"320",2020,9,1,"god",21462
"321",2020,9,2,"nancy pelosi",100107
"322",2020,9,2,"trump",99384
"323",2020,9,2,"pelosi",58984
"324",2020,9,2,"biden",39636
"325",2020,9,2,"covid",23785
"326",2020,9,3,"trump",101566
"327",2020,9,3,"nancy pelosi",58190
"328",2020,9,3,"pelosi",49293
"329",2020,9,3,"biden",35655
"330",2020,9,3,"covid",32731
"331",2020,9,4,"trump",103283
"332",2020,9,4,"robert pattinson",60411
"333",2020,9,4,"covid",58354
"334",2020,9,4,"biden",33399
"335",2020,9,4,"edward cullen",20632
"336",2020,9,5,"trump",75281
"337",2020,9,5,"biden",22303
"338",2020,9,5,"covid",22208
"339",2020,9,5,"donald trump",17065
"340",2020,9,5,"fauci",11626
"341",2020,9,6,"trump",52311
"342",2020,9,6,"covid",17237
"343",2020,9,6,"kamala harris",12662
"344",2020,9,6,"modi",11292
"345",2020,9,6,"donald trump",9713
"346",2020,9,7,"trump",71823
"347",2020,9,7,"covid",18943
"348",2020,9,7,"kellyanne conway",16861
"349",2020,9,7,"biden",15241
"350",2020,9,7,"betsy devos",14568
"351",2020,9,8,"trump",68692
"352",2020,9,8,"covid",36732
"353",2020,9,8,"biden",29118
"354",2020,9,8,"cuomo",16038
"355",2020,9,8,"nancy pelosi",15015
"356",2020,9,9,"trump",504381
"357",2020,9,9,"bob woodward",115592
"358",2020,9,9,"woodward",102892
"359",2020,9,9,"donald trump",55215
"360",2020,9,9,"covid",33811
"361",2020,9,10,"trump",634341
"362",2020,9,10,"woodward",117709
"363",2020,9,10,"bob woodward",84756
"364",2020,9,10,"donald trump",82760
"365",2020,9,10,"biden",82700
"366",2020,9,11,"trump",290307
"367",2020,9,11,"donald trump",44553
"368",2020,9,11,"biden",35010
"369",2020,9,11,"fauci",25172
"370",2020,9,11,"covid",25065
"371",2020,9,12,"trump",148023
"372",2020,9,12,"covid",40646
"373",2020,9,12,"fauci",22238
"374",2020,9,12,"donald trump",22074
"375",2020,9,12,"michael caputo",21561
"376",2020,9,13,"trump",189939
"377",2020,9,13,"biden",38563
"378",2020,9,13,"joe biden",29731
"379",2020,9,13,"covid",27733
"380",2020,9,13,"donald trump",14548
"381",2020,9,14,"trump",174310
"382",2020,9,14,"god",54442
"383",2020,9,14,"tom wolf",40484
"384",2020,9,14,"joe biden",38395
"385",2020,9,14,"covid",34393
"386",2020,9,15,"trump",158517
"387",2020,9,15,"paul rudd",56493
"388",2020,9,15,"donald trump",38143
"389",2020,9,15,"tom wolf",29020
"390",2020,9,15,"god",25758
"391",2020,9,16,"trump",278709
"392",2020,9,16,"li-meng yan",69045
"393",2020,9,16,"donald trump",56671
"394",2020,9,16,"covid",47921
"395",2020,9,16,"biden",34836
"396",2020,9,17,"trump",237936
"397",2020,9,17,"bill barr",41642
"398",2020,9,17,"biden",39461
"399",2020,9,17,"donald trump",38466
"400",2020,9,17,"covid",34575
"401",2020,9,18,"trump",229302
"402",2020,9,18,"biden",109959
"403",2020,9,18,"joe biden",71909
"404",2020,9,18,"olivia troye",42145
"405",2020,9,18,"donald trump",34308
"406",2020,9,19,"trump",108636
"407",2020,9,19,"tik tok",40470
"408",2020,9,19,"biden",19893
"409",2020,9,19,"covid",18115
"410",2020,9,19,"joe biden",13004
"411",2020,9,20,"trump",125930
"412",2020,9,20,"mitch mcconnell",42670
"413",2020,9,20,"tik tok",41721
"414",2020,9,20,"adeline fagan",25358
"415",2020,9,20,"biden",22838
"416",2020,9,21,"trump",129792
"417",2020,9,21,"joe biden",40037
"418",2020,9,21,"biden",28084
"419",2020,9,21,"covid",24975
"420",2020,9,21,"donald trump",23284
"421",2020,9,22,"trump",240433
"422",2020,9,22,"boris johnson",42677
"423",2020,9,22,"covid",29883
"424",2020,9,22,"biden",27246
"425",2020,9,22,"donald trump",24206
"426",2020,9,23,"trump",111860
"427",2020,9,23,"fauci",29736
"428",2020,9,23,"rand paul",18899
"429",2020,9,23,"covid",18428
"430",2020,9,23,"biden",17619
"431",2020,9,24,"covid",150484
"432",2020,9,24,"trump",68321
"433",2020,9,24,"biden",19634
"434",2020,9,24,"fauci",19438
"435",2020,9,24,"nancy pelosi",14052
"436",2020,9,25,"trump",79263
"437",2020,9,25,"covid",66008
"438",2020,9,25,"desantis",21308
"439",2020,9,25,"biden",19366
"440",2020,9,25,"ron desantis",14891
"441",2020,9,26,"trump",127569
"442",2020,9,26,"fauci",47575
"443",2020,9,26,"dennis quaid",25490
"444",2020,9,26,"covid",23811
"445",2020,9,26,"desantis",20002
"446",2020,9,27,"trump",127728
"447",2020,9,27,"fauci",23567
"448",2020,9,27,"amy coney barrett",21932
"449",2020,9,27,"covid",21328
"450",2020,9,27,"biden",20206
"451",2020,9,28,"trump",96811
"452",2020,9,28,"biden",46564
"453",2020,9,28,"redfield",21008
"454",2020,9,28,"covid",20909
"455",2020,9,28,"fauci",16090
"456",2020,9,29,"trump",118504
"457",2020,9,29,"biden",64278
"458",2020,9,29,"chris wallace",30284
"459",2020,9,29,"god",24047
"460",2020,9,29,"covid",18159
"461",2020,9,30,"trump",327191
"462",2020,9,30,"biden",206976
"463",2020,9,30,"joe biden",87291
"464",2020,9,30,"covid",57310
"465",2020,9,30,"herman cain",41388
"466",2020,10,1,"trump",85685
"467",2020,10,1,"biden",48298
"468",2020,10,1,"covid",18059
"469",2020,10,1,"cuomo",17344
"470",2020,10,1,"donald trump",15313
"471",2020,10,2,"trump",1067009
"472",2020,10,2,"hope hicks",241378
"473",2020,10,2,"donald trump",214714
"474",2020,10,2,"biden",170109
"475",2020,10,2,"covid",106173
"476",2020,10,3,"trump",918125
"477",2020,10,3,"donald trump",125127
"478",2020,10,3,"biden",118232
"479",2020,10,3,"covid",113370
"480",2020,10,3,"joe biden",74281
"481",2020,10,4,"trump",677579
"482",2020,10,4,"biden",121398
"483",2020,10,4,"donald trump",110000
"484",2020,10,4,"covid",102781
"485",2020,10,4,"joe biden",64677
"486",2020,10,5,"trump",796317
"487",2020,10,5,"covid",229011
"488",2020,10,5,"biden",100891
"489",2020,10,5,"donald trump",81428
"490",2020,10,5,"joe biden",69565
"491",2020,10,6,"trump",695796
"492",2020,10,6,"covid",170578
"493",2020,10,6,"donald trump",99883
"494",2020,10,6,"biden",76180
"495",2020,10,6,"joe biden",66531
"496",2020,10,7,"trump",477001
"497",2020,10,7,"stephen miller",90635
"498",2020,10,7,"covid",80071
"499",2020,10,7,"biden",70422
"500",2020,10,7,"donald trump",60800
"501",2020,10,8,"trump",378802
"502",2020,10,8,"mike pence",208070
"503",2020,10,8,"donald trump",104913
"504",2020,10,8,"biden",77425
"505",2020,10,8,"covid",58775
"506",2020,10,9,"trump",456629
"507",2020,10,9,"donald trump",76819
"508",2020,10,9,"lindsey graham",69327
"509",2020,10,9,"covid",63677
"510",2020,10,9,"whitmer",47430
"511",2020,10,10,"trump",357104
"512",2020,10,10,"lindsey graham",147688
"513",2020,10,10,"donald trump",62087
"514",2020,10,10,"biden",39874
"515",2020,10,10,"covid",38530
"516",2020,10,11,"trump",311875
"517",2020,10,11,"fauci",95605
"518",2020,10,11,"biden",49203
"519",2020,10,11,"covid",41254
"520",2020,10,11,"donald trump",34266
"521",2020,10,12,"trump",211892
"522",2020,10,12,"fauci",56749
"523",2020,10,12,"mike lee",45109
"524",2020,10,12,"covid",33448
"525",2020,10,12,"biden",33363
"526",2020,10,13,"trump",210262
"527",2020,10,13,"mcconnell",60768
"528",2020,10,13,"cristiano ronaldo",57076
"529",2020,10,13,"donald trump",47830
"530",2020,10,13,"mitch mcconnell",35821
"531",2020,10,14,"trump",148581
"532",2020,10,14,"biden",44227
"533",2020,10,14,"covid",41927
"534",2020,10,14,"mcconnell",24285
"535",2020,10,14,"donald trump",22615
"536",2020,10,15,"trump",219235
"537",2020,10,15,"covid",46223
"538",2020,10,15,"biden",42488
"539",2020,10,15,"su",27514
"540",2020,10,15,"kamala harris",20793
"541",2020,10,16,"trump",204486
"542",2020,10,16,"biden",80996
"543",2020,10,16,"donald trump",38733
"544",2020,10,16,"covid",33020
"545",2020,10,16,"joe biden",29969
"546",2020,10,17,"trump",125948
"547",2020,10,17,"covid",45612
"548",2020,10,17,"biden",32340
"549",2020,10,17,"hunter biden",25679
"550",2020,10,17,"joe",23686
"551",2020,10,18,"trump",125478
"552",2020,10,18,"donald trump",43847
"553",2020,10,18,"covid",38851
"554",2020,10,18,"scott atlas",37828
"555",2020,10,18,"joe biden",22002
"556",2020,10,19,"trump",232846
"557",2020,10,19,"donald trump",169666
"558",2020,10,19,"fauci",108474
"559",2020,10,19,"joe biden",47727
"560",2020,10,19,"scott atlas",37817
"561",2020,10,20,"trump",174042
"562",2020,10,20,"fauci",47912
"563",2020,10,20,"covid",46507
"564",2020,10,20,"donald trump",38819
"565",2020,10,20,"god",36653
"566",2020,10,21,"trump",116750
"567",2020,10,21,"covid",35932
"568",2020,10,21,"biden",27112
"569",2020,10,21,"obama",24621
"570",2020,10,21,"joe biden",22163
"571",2020,10,22,"trump",118818
"572",2020,10,22,"obama",33911
"573",2020,10,22,"covid",28247
"574",2020,10,22,"biden",23960
"575",2020,10,22,"karam",22112
"576",2020,10,23,"trump",296747
"577",2020,10,23,"biden",135673
"578",2020,10,23,"joe biden",79281
"579",2020,10,23,"covid",41347
"580",2020,10,23,"donald trump",23461
"581",2020,10,24,"trump",171108
"582",2020,10,24,"biden",59113
"583",2020,10,24,"fauci",44101
"584",2020,10,24,"joe biden",43660
"585",2020,10,24,"covid",32129
"586",2020,10,25,"trump",187585
"587",2020,10,25,"mark meadows",81126
"588",2020,10,25,"mike pence",60575
"589",2020,10,25,"biden",43461
"590",2020,10,25,"donald trump",42710
"591",2020,10,26,"trump",195018
"592",2020,10,26,"biden",53623
"593",2020,10,26,"covid",34176
"594",2020,10,26,"joe biden",30342
"595",2020,10,26,"mark meadows",27359
"596",2020,10,27,"trump",141450
"597",2020,10,27,"biden",43865
"598",2020,10,27,"obama",33243
"599",2020,10,27,"covid",32550
"600",2020,10,27,"joe biden",30592
"601",2020,10,28,"trump",152560
"602",2020,10,28,"biden",46919
"603",2020,10,28,"covid",38893
"604",2020,10,28,"justin turner",34219
"605",2020,10,28,"joe biden",27628
"606",2020,10,29,"trump",143729
