"","Year","Month","Text","Count"
"1",2020,1,"china",359290
"2",2020,1,"wuhan",119805
"3",2020,1,"us",45592
"4",2020,1,"australia",22723
"5",2020,1,"hong kong",13826
"6",2020,2,"china",242483
"7",2020,2,"us",172415
"8",2020,2,"corona",63641
"9",2020,2,"washington",59039
"10",2020,2,"iran",54732
"11",2020,4,"china",84687
"12",2020,4,"us",75665
"13",2020,4,"america",32604
"14",2020,4,"uk",32545
"15",2020,4,"india",19800
"16",2020,7,"us",1230667
"17",2020,7,"china",734697
"18",2020,7,"florida",468347
"19",2020,7,"america",301220
"20",2020,7,"india",222844
"21",2020,8,"us",2129594
"22",2020,8,"india",1404169
"23",2020,8,"china",1176920
"24",2020,8,"america",1110660
"25",2020,8,"uk",418744
"26",2020,9,"us",1943081
"27",2020,9,"china",1286834
"28",2020,9,"america",983497
"29",2020,9,"india",705493
"30",2020,9,"uk",695997
"31",2020,10,"white house",2140874
"32",2020,10,"us",2100790
"33",2020,10,"china",1386888
"34",2020,10,"america",868049
"35",2020,10,"uk",460658
"36",2020,11,"us",1885711
"37",2020,11,"america",1069777
"38",2020,11,"china",809266
"39",2020,11,"uk",768550
"40",2020,11,"white house",274045
"41",2020,12,"us",1877911
"42",2020,12,"uk",1530492
"43",2020,12,"china",1279051
"44",2020,12,"america",548852
"45",2020,12,"florida",323800
"46",2021,1,"uk",1995941
"47",2021,1,"us",1383227
"48",2021,1,"china",945947
"49",2021,1,"india",680436
"50",2021,1,"capitol",267262
"51",2021,2,"us",1116373
"52",2021,2,"uk",1057342
"53",2021,2,"china",478698
"54",2021,2,"india",354464
"55",2021,2,"texas",287745
"56",2021,3,"us",1186916
"57",2021,3,"uk",953275
"58",2021,3,"texas",810592
"59",2021,3,"china",482289
"60",2021,3,"india",366396
"61",2021,4,"india",3586336
"62",2021,4,"us",1197468
"63",2021,4,"delhi",770806
"64",2021,4,"uk",744610
"65",2021,4,"covid",564285
"66",2021,5,"india",3876696
"67",2021,5,"us",1098043
"68",2021,5,"uk",828132
"69",2021,5,"china",673819
"70",2021,5,"covid",432068
"71",2021,6,"india",1208661
"72",2021,6,"us",1013809
"73",2021,6,"uk",912368
"74",2021,6,"china",761255
"75",2021,6,"wuhan",448809
"76",2021,7,"uk",700539
"77",2021,7,"us",546282
"78",2021,7,"myanmar",388343
"79",2021,7,"covid",307431
"80",2021,7,"india",267158
