"","Year","Month","Text","Count"
"1",2020,1,"chinese",64841
"2",2020,1,"coronavirus",45638
"3",2020,1,"asian",34381
"4",2020,1,"italian",24281
"5",2020,1,"americans",13116
"6",2020,2,"coronavirus",366794
"7",2020,2,"democrats",90790
"8",2020,2,"americans",67294
"9",2020,2,"chinese",46323
"10",2020,2,"american",32624
"11",2020,4,"covid-19",74781
"12",2020,4,"coronavirus",51009
"13",2020,4,"americans",29951
"14",2020,4,"covid19",17328
"15",2020,4,"chinese",16494
"16",2020,7,"covid-19",181700
"17",2020,7,"coronavirus",117257
"18",2020,7,"americans",97520
"19",2020,7,"democrats",37613
"20",2020,7,"ci",36370
"21",2020,8,"covid-19",1936131
"22",2020,8,"americans",1350963
"23",2020,8,"covid",569935
"24",2020,8,"coronavirus",483728
"25",2020,8,"american",312647
"26",2020,9,"covid-19",2522746
"27",2020,9,"americans",1775578
"28",2020,9,"covid",1043430
"29",2020,9,"american",600024
"30",2020,9,"coronavirus",490953
"31",2020,10,"covid-19",3508156
"32",2020,10,"americans",2120472
"33",2020,10,"covid",1400065
"34",2020,10,"coronavirus",556428
"35",2020,10,"american",449031
"36",2020,11,"covid-19",2277469
"37",2020,11,"americans",1358668
"38",2020,11,"covid",1305789
"39",2020,11,"covid19",298476
"40",2020,11,"american",229036
"41",2020,12,"covid-19",2354603
"42",2020,12,"americans",1763414
"43",2020,12,"covid",1723070
"44",2020,12,"american",591048
"45",2020,12,"republicans",339390
"46",2021,1,"covid-19",2246015
"47",2021,1,"covid",1229499
"48",2021,1,"americans",878947
"49",2021,1,"covid19",544381
"50",2021,1,"republicans",178449
"51",2021,2,"covid-19",1478263
"52",2021,2,"covid",1212911
"53",2021,2,"americans",721734
"54",2021,2,"republicans",392295
"55",2021,2,"covid19",295984
"56",2021,3,"covid-19",2075994
"57",2021,3,"covid",1632125
"58",2021,3,"americans",780465
"59",2021,3,"republicans",622774
"60",2021,3,"covid19",276596
"61",2021,4,"covid-19",1910637
"62",2021,4,"covid",1887341
"63",2021,4,"covid19",801405
"64",2021,4,"indian",383586
"65",2021,4,"americans",240816
"66",2021,5,"covid-19",1918103
"67",2021,5,"covid",1845741
"68",2021,5,"covid19",889058
"69",2021,5,"indian",667799
"70",2021,5,"chinese",283619
"71",2021,6,"covid",1315229
"72",2021,6,"covid-19",1307675
"73",2021,6,"covid19",581021
"74",2021,6,"americans",229913
"75",2021,6,"chinese",171059
"76",2021,7,"covid",2089062
"77",2021,7,"covid-19",1740988
"78",2021,7,"covid19",675957
"79",2021,7,"americans",440413
"80",2021,7,"olympics",120454
"81",2021,8,"covid",573376
"82",2021,8,"covid-19",480251
"83",2021,8,"americans",161270
"84",2021,8,"covid19",121964
"85",2021,8,"democrats",60780
