"","Year","Month","Text","Count"
"1",2020,1,"british airways",14527
"2",2020,1,"cdc",12044
"3",2020,1,"huawei",6192
"4",2020,1,"super junior",4573
"5",2020,1,"senate",4303
"6",2020,2,"cdc",85263
"7",2020,2,"trump",21850
"8",2020,2,"cnn",10748
"9",2020,2,"fox news",10374
"10",2020,2,"bts",9398
"11",2020,4,"nhs",9500
"12",2020,4,"cdc",8326
"13",2020,4,"trump",8145
"14",2020,4,"mask america",6120
"15",2020,4,"rbi",4841
"16",2020,7,"cdc",294485
"17",2020,7,"trump",47000
"18",2020,7,"trump administration",37945
"19",2020,7,"covid",37281
"20",2020,7,"federalist society",19695
"21",2020,8,"cdc",1004725
"22",2020,8,"usps",341795
"23",2020,8,"fda",284524
"24",2020,8,"trump",240290
"25",2020,8,"rnc",208100
"26",2020,9,"cdc",1703346
"27",2020,9,"trump",461010
"28",2020,9,"covid",452252
"29",2020,9,"senate",187000
"30",2020,9,"cnn",146749
"31",2020,10,"cdc",1123976
"32",2020,10,"senate",823780
"33",2020,10,"trump",681243
"34",2020,10,"covid",333027
"35",2020,10,"secret service",208692
"36",2020,11,"pfizer",565673
"37",2020,11,"covid",538470
"38",2020,11,"cdc",442380
"39",2020,11,"senate",356021
"40",2020,11,"trump",249284
"41",2020,12,"congress",636379
"42",2020,12,"pfizer",622625
"43",2020,12,"cdc",613353
"44",2020,12,"senate",385169
"45",2020,12,"fda",212644
"46",2021,1,"nhs",468408
"47",2021,1,"cdc",292347
"48",2021,1,"pfizer",256438
"49",2021,1,"covid",222963
"50",2021,1,"eu",207255
"51",2021,2,"cdc",663765
"52",2021,2,"senate",336179
"53",2021,2,"covid",198546
"54",2021,2,"nhs",190351
"55",2021,2,"pfizer",180168
"56",2021,3,"cdc",939902
"57",2021,3,"senate",436581
"58",2021,3,"eu",248949
"59",2021,3,"astrazeneca",222893
"60",2021,3,"nhs",155223
"61",2021,4,"covid",984893
"62",2021,4,"cdc",892005
"63",2021,4,"pfizer",315967
"64",2021,4,"covid19",155262
"65",2021,4,"astrazeneca",125378
"66",2021,5,"cdc",2045240
"67",2021,5,"covid",1033890
"68",2021,5,"pfizer",354269
"69",2021,5,"bjp",286746
"70",2021,5,"congress",131137
"71",2021,6,"covid",808971
"72",2021,6,"cdc",625728
"73",2021,6,"pfizer",228969
"74",2021,6,"delta",152901
"75",2021,6,"ccp",93974
"76",2021,7,"cdc",1456433
"77",2021,7,"covid",1033600
"78",2021,7,"pfizer",294891
"79",2021,7,"delta",282394
"80",2021,7,"sac",169236
"81",2021,8,"cdc",604397
"82",2021,8,"covid",383597
"83",2021,8,"delta",167643
"84",2021,8,"icu",68317
"85",2021,8,"exo",38491
