"","Year","Month","Text","Count"
"1",2020,1,"trump",17138
"2",2020,1,"ivanka trump",4250
"3",2020,1,"god",3649
"4",2020,1,"charles lieber",2898
"5",2020,1,"obama",2816
"6",2020,2,"trump",305605
"7",2020,2,"mike pence",25703
"8",2020,2,"lewis",23978
"9",2020,2,"donald trump",16482
"10",2020,2,"anthony fauci",14583
"11",2020,4,"trump",77290
"12",2020,4,"obama",15116
"13",2020,4,"fauci",12419
"14",2020,4,"donald trump",9640
"15",2020,4,"god",8719
"16",2020,7,"trump",258724
"17",2020,7,"fauci",88342
"18",2020,7,"herman cain",52731
"19",2020,7,"bozo",36420
"20",2020,7,"jollett",35234
"21",2020,8,"trump",3330546
"22",2020,8,"donald trump",505542
"23",2020,8,"biden",448651
"24",2020,8,"covid",426857
"25",2020,8,"fauci",299468
"26",2020,9,"trump",5153423
"27",2020,9,"biden",1032435
"28",2020,9,"covid",928820
"29",2020,9,"donald trump",461006
"30",2020,9,"joe biden",280367
"31",2020,10,"trump",9527838
"32",2020,10,"biden",1645518
"33",2020,10,"covid",1610522
"34",2020,10,"donald trump",1466865
"35",2020,10,"joe biden",641068
"36",2020,11,"trump",2927141
"37",2020,11,"biden",1792188
"38",2020,11,"covid",1087385
"39",2020,11,"joe biden",482948
"40",2020,11,"fauci",234958
"41",2020,12,"trump",1916456
"42",2020,12,"covid",729773
"43",2020,12,"biden",419938
"44",2020,12,"mitch mcconnell",198578
"45",2020,12,"rudy giuliani",144556
"46",2021,1,"biden",1815328
"47",2021,1,"trump",1225612
"48",2021,1,"covid",961047
"49",2021,1,"joe biden",444418
"50",2021,1,"boris johnson",185577
"51",2021,2,"biden",1394302
"52",2021,2,"trump",533229
"53",2021,2,"covid",438261
"54",2021,2,"cuomo",184072
"55",2021,2,"joe biden",114615
"56",2021,3,"biden",1647250
"57",2021,3,"trump",754823
"58",2021,3,"covid",590312
"59",2021,3,"joe biden",148859
"60",2021,3,"fauci",138738
"61",2021,4,"covid",1053505
"62",2021,4,"biden",443875
"63",2021,4,"modi",381001
"64",2021,4,"fauci",181950
"65",2021,4,"trump",121861
"66",2021,5,"covid",1027436
"67",2021,5,"biden",543398
"68",2021,5,"fauci",486433
"69",2021,5,"modi",396369
"70",2021,5,"trump",196276
"71",2021,6,"covid",804211
"72",2021,6,"fauci",689120
"73",2021,6,"biden",348575
"74",2021,6,"trump",333208
"75",2021,6,"matt hancock",143883
"76",2021,7,"covid",1336416
"77",2021,7,"biden",654223
"78",2021,7,"fauci",299830
"79",2021,7,"boris johnson",186223
"80",2021,7,"trump",149650
