"","Year","Month","Day","Text","Count"
"1",2020,2,12,"china",19799
"2",2020,2,12,"méxico",9579
"3",2020,2,12,"sofia",7508
"4",2020,2,12,"wuhan",6840
"5",2020,2,12,"barcelona",3383
"6",2020,2,28,"méxico",21661
"7",2020,2,28,"china",5205
"8",2020,2,28,"españa",2718
"9",2020,2,28,"italia",2438
"10",2020,2,28,"cdmx",1722
"11",2020,2,29,"méxico",14175
"12",2020,2,29,"ecuador",5847
"13",2020,2,29,"china",4832
"14",2020,2,29,"españa",2695
"15",2020,2,29,"italia",2329
"16",2020,4,22,"argentina",9200
"17",2020,4,22,"españa",6532
"18",2020,4,22,"méxico",6114
"19",2020,4,22,"venezuela",5855
"20",2020,4,22,"wuhan",3876
"21",2020,5,11,"españa",6342
"22",2020,5,11,"méxico",5545
"23",2020,5,11,"china",4142
"24",2020,5,11,"venezuela",3844
"25",2020,5,11,"brasil",3835
"26",2020,5,14,"españa",8521
"27",2020,5,14,"venezuela",5721
"28",2020,5,14,"méxico",5084
"29",2020,5,14,"chile",4438
"30",2020,5,14,"madrid",4394
"31",2020,5,27,"méxico",12287
"32",2020,5,27,"venezuela",10351
"33",2020,5,27,"chile",9165
"34",2020,5,27,"españa",7559
"35",2020,5,27,"brasil",5035
"36",2020,6,1,"australia",22406
"37",2020,6,1,"españa",11003
"38",2020,6,1,"méxico",7773
"39",2020,6,1,"brasil",4999
"40",2020,6,1,"casa blanca",4114
"41",2020,6,8,"méxico",16005
"42",2020,6,8,"españa",13322
"43",2020,6,8,"nueva zelanda",12435
"44",2020,6,8,"venezuela",10772
"45",2020,6,8,"chile",10648
"46",2020,6,17,"chile",12912
"47",2020,6,17,"pekín",10403
"48",2020,6,17,"méxico",9058
"49",2020,6,17,"españa",8459
"50",2020,6,17,"venezuela",8205
"51",2020,7,1,"méxico",9216
"52",2020,7,1,"colombia",6411
"53",2020,7,1,"venezuela",5846
"54",2020,7,1,"china",4998
"55",2020,7,1,"brasil",4817
"56",2020,7,2,"méxico",15017
"57",2020,7,2,"españa",10691
"58",2020,7,2,"venezuela",7309
"59",2020,7,2,"eeuu",5700
"60",2020,7,2,"cuba",5072
"61",2020,7,4,"méxico",9278
"62",2020,7,4,"venezuela",8719
"63",2020,7,4,"argentina",6398
"64",2020,7,4,"españa",5711
"65",2020,7,4,"eeuu",5053
"66",2020,7,5,"méxico",26931
"67",2020,7,5,"venezuela",11083
"68",2020,7,5,"españa",9657
"69",2020,7,5,"chile",6104
"70",2020,7,5,"la almudena",4284
"71",2020,7,6,"méxico",17165
"72",2020,7,6,"venezuela",13453
"73",2020,7,6,"españa",9228
"74",2020,7,6,"eeuu",6497
"75",2020,7,6,"la almudena",5201
"76",2020,7,7,"méxico",9062
"77",2020,7,7,"venezuela",8918
"78",2020,7,7,"brasil",6996
"79",2020,7,7,"eua",6593
"80",2020,7,7,"españa",5016
"81",2020,7,8,"venezuela",9332
"82",2020,7,8,"méxico",7688
"83",2020,7,8,"colombia",4775
"84",2020,7,8,"españa",4141
"85",2020,7,8,"brasil",3852
"86",2020,7,9,"venezuela",12964
"87",2020,7,9,"españa",7299
"88",2020,7,9,"américa latina",7064
"89",2020,7,9,"méxico",6604
"90",2020,7,9,"zulia",5004
"91",2020,7,10,"venezuela",15176
"92",2020,7,10,"méxico",11066
"93",2020,7,10,"américa latina",6920
"94",2020,7,10,"colombia",6058
"95",2020,7,10,"zulia",5425
"96",2020,7,11,"méxico",16694
"97",2020,7,11,"venezuela",11903
"98",2020,7,11,"colombia",6478
"99",2020,7,11,"eeuu",5912
"100",2020,7,11,"españa",4852
"101",2020,7,12,"venezuela",16619
"102",2020,7,12,"méxico",12520
"103",2020,7,12,"china",8228
