"","Year","Month","Day","Text","Count"
"1",2020,2,12,"china",4706
"2",2020,2,12,"oms",3167
"3",2020,2,12,"hdez",2184
"4",2020,2,12,"kma",1641
"5",2020,2,12,"sony",1195
"6",2020,2,28,"noestoyperdon",4709
"7",2020,2,28,"espanabizarra",2421
"8",2020,2,28,"oms",2142
"9",2020,2,28,"imss",1994
"10",2020,2,28,"jmtoya",1887
"11",2020,2,29,"imss",1811
"12",2020,2,29,"noestoyperdon",1714
"13",2020,2,29,"china",1679
"14",2020,2,29,"oms",1546
"15",2020,2,29,"chaira",1098
"16",2020,4,22,"gobierno",9444
"17",2020,4,22,"oms",7319
"18",2020,4,22,"ginesggarcia",6608
"19",2020,4,22,"anlis",6140
"20",2020,4,22,"imss",5047
"21",2020,5,11,"gobierno",7658
"22",2020,5,11,"sanbenito",7586
"23",2020,5,11,"oms",4688
"24",2020,5,11,"cnnee",3633
"25",2020,5,11,"avianca",3124
"26",2020,5,14,"gobierno",8658
"27",2020,5,14,"oms",7268
"28",2020,5,14,"cnnee",4878
"29",2020,5,14,"china",4098
"30",2020,5,14,"covid",2747
"31",2020,5,27,"gobierno",16099
"32",2020,5,27,"guardia civil",11756
"33",2020,5,27,"oms",4589
"34",2020,5,27,"eldiarioes",4062
"35",2020,5,27,"covid",3487
"36",2020,6,1,"anonymous",11220
"37",2020,6,1,"gobierno",11059
"38",2020,6,1,"m4neugly",7667
"39",2020,6,1,"casa blanca",5413
"40",2020,6,1,"gerardotc",5259
"41",2020,6,9,"oms",20054
"42",2020,6,9,"gobierno",11468
"43",2020,6,9,"ricarospina",8254
"44",2020,6,9,"españa",4084
"45",2020,6,9,"hlgatell",3927
"46",2020,6,17,"gobierno",8098
"47",2020,6,17,"oms",7488
"48",2020,6,17,"covid",5985
"49",2020,6,17,"latam",4982
"50",2020,6,17,"china",4792
"51",2020,7,17,"covid",6248
"52",2020,7,17,"gobierno",5067
"53",2020,7,17,"estado",4965
"54",2020,7,17,"sinescritoss",3780
"55",2020,7,17,"adidas",3504
"56",2020,7,31,"gobierno",7562
"57",2020,7,31,"mippcivzla",5538
"58",2020,7,31,"oms",5349
"59",2020,7,31,"covid",5183
"60",2020,7,31,"orinkerr",4357
"61",2020,8,11,"rusia",30086
"62",2020,8,11,"lfacello1",6181
"63",2020,8,11,"actualidadrt",5990
"64",2020,8,11,"oms",5796
"65",2020,8,11,"covid",5601
"66",2020,8,12,"rusia",13323
"67",2020,8,12,"covid",8254
"68",2020,8,12,"argentina",7559
"69",2020,8,12,"astrazeneca",6872
"70",2020,8,12,"mippcivzla",6061
"71",2020,8,13,"astrazeneca",27905
"72",2020,8,13,"argentina",19724
"73",2020,8,13,"méxico",15732
"74",2020,8,13,"fundacion carlos slim",9909
"75",2020,8,13,"gobierno",7312
"76",2020,8,14,"covid",8929
"77",2020,8,14,"oms",7879
"78",2020,8,14,"méxico",7464
"79",2020,8,14,"gobierno",7160
"80",2020,8,14,"drodriven2",6234
"81",2020,8,15,"gobierno",9084
"82",2020,8,15,"mippcivzla",8619
"83",2020,8,15,"vtvcanal8",7702
"84",2020,8,15,"gobierno bolivariano",7149
"85",2020,8,15,"covid",5836
"86",2020,8,16,"mippcivzla",11195
"87",2020,8,16,"enfrmrasaturada",10621
"88",2020,8,16,"gobierno",9774
"89",2020,8,16,"covid",7897
"90",2020,8,16,"vtvcanal8",5879
"91",2020,8,17,"mippcivzla",9462
"92",2020,8,17,"gobierno",9085
"93",2020,8,17,"covid",8499
"94",2020,8,17,"vtvcanal8",6886
"95",2020,8,17,"gnb",6459
"96",2020,8,18,"covid",7189
"97",2020,8,18,"mippcivzla",7065
"98",2020,8,18,"gnb",6588
"99",2020,8,18,"gobierno",5803
"100",2020,8,18,"oms",5532
"101",2020,8,19,"escritosrame",13994
"102",2020,8,19,"covid",8093
"103",2020,8,19,"pontifex",6643
"104",2020,8,19,"gobierno",6513
"105",2020,8,19,"gnb",6322
"106",2020,8,20,"covid",6936
"107",2020,8,20,"mippcivzla",5765
"108",2020,8,20,"gnb",5699
"109",2020,8,20,"gobierno",5459
"110",2020,8,20,"cuba",4408
"111",2020,8,21,"oms",7794
"112",2020,8,21,"mippcivzla",6216
"113",2020,8,21,"gnb",5068
"114",2020,8,21,"vtvcanal8",4872
"115",2020,8,21,"covid",4483
"116",2020,8,22,"oms",13801
"117",2020,8,22,"covid",9437
"118",2020,8,22,"vtvcanal8",8777
"119",2020,8,22,"gobierno",8681
"120",2020,8,22,"fdbedout",6868
"121",2020,8,23,"hlgatell",10850
"122",2020,8,23,"covid",8710
"123",2020,8,23,"pontifex",6738
"124",2020,8,23,"argentina",6076
"125",2020,8,23,"oms",5656
"126",2020,8,25,"starbucks",8631
"127",2020,8,25,"burger king",8432
"128",2020,8,25,"atlanticsurff",8168
"129",2020,8,25,"mippcivzla",7208
"130",2020,8,25,"covid",7162
"131",2020,8,26,"mippcivzla",6372
"132",2020,8,26,"covid",6330
"133",2020,8,26,"gobierno",5648
"134",2020,8,26,"capliberal",4742
"135",2020,8,26,"gnb",4454
"136",2020,8,27,"toscanorevenge",9396
"137",2020,8,27,"gobierno",7863
"138",2020,8,27,"mippcivzla",6619
"139",2020,8,27,"gnb",6115
"140",2020,8,27,"covid",5520
"141",2020,8,28,"covid",6740
"142",2020,8,28,"mippcivzla",6112
"143",2020,8,28,"gobierno",5678
"144",2020,8,28,"gnb",5426
"145",2020,8,28,"oms",3567
"146",2020,8,29,"mippcivzla",8932
"147",2020,8,29,"gobierno",6064
"148",2020,8,29,"gnb",4872
"149",2020,8,29,"covid",4665
"150",2020,8,29,"conelmazodando",4370
"151",2020,8,30,"same",9380
"152",2020,8,30,"mippcivzla",8709
"153",2020,8,30,"covid",7224
"154",2020,8,30,"vtvcanal8",6226
"155",2020,8,30,"gobierno",5189
"156",2020,9,1,"covid",7899
"157",2020,9,1,"gobierno",6971
"158",2020,9,1,"gnb",6223
"159",2020,9,1,"mippcivzla",5794
"160",2020,9,1,"oms",4327
"161",2020,9,2,"gobierno",2770
"162",2020,9,2,"covid",2700
"163",2020,9,2,"bts",1792
"164",2020,9,2,"drodriven2",1566
"165",2020,9,2,"dios",1551
"166",2020,9,5,"covid",6627
"167",2020,9,5,"gobierno",3665
"168",2020,9,5,"uci",3587
"169",2020,9,5,"oms",3418
"170",2020,9,5,"carbonitedan",3310
"171",2020,9,6,"msaludpy",873
"172",2020,9,6,"drodriven2",823
"173",2020,9,6,"covid19",500
"174",2020,9,6,"covid",420
"175",2020,9,6,"colegio médico",356
"176",2020,9,7,"lalups",6855
"177",2020,9,7,"covid",2078
"178",2020,9,7,"oms",1581
"179",2020,9,7,"drlovemx",1338
"180",2020,9,7,"k",1338
"181",2020,9,9,"astrazeneca",3154
