"","Year","Month","Day","Text","Count"
"1",2020,2,12,"pauletta",7520
"2",2020,2,12,"pablolpez",1797
"3",2020,2,12,"tevoyacureosear",1221
"4",2020,2,12,"carlosloret",904
"5",2020,2,12,"morena",895
"6",2020,2,28,"leonor",2428
"7",2020,2,28,"amlo",2290
"8",2020,2,28,"vicks",1888
"9",2020,2,28,"kaylenzarate1",1504
"10",2020,2,28,"lopezobrador",1347
"11",2020,2,29,"eileenornot",2236
"12",2020,2,29,"rené",1630
"13",2020,2,29,"manuragaini",1595
"14",2020,2,29,"lopezobrador",1446
"15",2020,2,29,"cirogomezl",884
"16",2020,4,22,"alfredodelmazo",8677
"17",2020,4,22,"malbran",6050
"18",2020,4,22,"bill gates",4102
"19",2020,4,22,"pablo casado",3948
"20",2020,4,22,"casado",3523
"21",2020,5,11,"alfredodelmazo",6015
"22",2020,5,11,"idiazayuso",4576
"23",2020,5,11,"ayuso",4547
"24",2020,5,11,"covid",3831
"25",2020,5,11,"torrente",2671
"26",2020,5,14,"serranoismael",10388
"27",2020,5,14,"alfredodelmazo",3949
"28",2020,5,14,"covid",3578
"29",2020,5,14,"yoshio",3145
"30",2020,5,14,"nicolasmaduro",2965
"31",2020,5,27,"covid",4441
"32",2020,5,27,"lopezobrador",3733
"33",2020,5,27,"nicolasmaduro",3498
"34",2020,5,27,"iglesias",2309
"35",2020,5,27,"maduro",2210
"36",2020,6,1,"irene montero",33370
"37",2020,6,1,"trump",6998
"38",2020,6,1,"covid",6500
"39",2020,6,1,"albiol",3423
"40",2020,6,1,"irenemontero",3389
"41",2020,6,9,"josé julián buelvas",9002
"42",2020,6,9,"covid",6679
"43",2020,6,9,"fernando simón",4602
"44",2020,6,9,"uliisesgonzalez",3842
"45",2020,6,9,"lopezobrador",3400
"46",2020,6,17,"vidal",14507
"47",2020,6,17,"covid",11341
"48",2020,6,17,"maría eugenia vidal",8151
"49",2020,6,17,"mariuvidal",5999
"50",2020,6,17,"lopezobrador",5845
"51",2020,7,1,"nicolasmaduro",8160
"52",2020,7,1,"covid",6858
"53",2020,7,1,"trump",4058
"54",2020,7,1,"helenavillarrt",3337
"55",2020,7,1,"vickyortiz05",3098
"56",2020,7,2,"covid",5889
"57",2020,7,2,"helenavillarrt",4299
"58",2020,7,2,"felipecalderon",3489
"59",2020,7,2,"jorgebustos1",2991
"60",2020,7,2,"nicolasmaduro",2970
"61",2020,7,4,"covid",6884
"62",2020,7,4,"trump",3056
"63",2020,7,4,"sánchez",3038
"64",2020,7,4,"marina",2370
"65",2020,7,4,"gustavo",2275
"66",2020,7,5,"covid",7055
"67",2020,7,5,"sánchez",5912
"68",2020,7,5,"lopezobrador",5188
"69",2020,7,5,"nicolasmaduro",4231
"70",2020,7,5,"trump",3636
"71",2020,7,6,"pedro sánchez",10071
"72",2020,7,6,"nicolasmaduro",9397
"73",2020,7,6,"franco",8987
"74",2020,7,6,"covid",8400
"75",2020,7,6,"george floyd",6737
"76",2020,7,7,"bolsonaro",26855
"77",2020,7,7,"jair bolsonaro",26825
"78",2020,7,7,"aangieuxx",15380
"79",2020,7,7,"covid",14737
"80",2020,7,7,"trump",11533
"81",2020,7,8,"bolsonaro",13510
"82",2020,7,8,"covid",8226
"83",2020,7,8,"trump",6413
"84",2020,7,8,"jair bolsonaro",6081
"85",2020,7,8,"nicolasmaduro",3592
"86",2020,7,9,"nicolasmaduro",11507
"87",2020,7,9,"diosdado cabello",11502
"88",2020,7,9,"covid",9484
"89",2020,7,9,"maduro",5748
"90",2020,7,9,"omar prieto",5515
"91",2020,7,10,"diosdado cabello",15085
"92",2020,7,10,"dcabellor",13493
"93",2020,7,10,"covid",11253
"94",2020,7,10,"nicolasmaduro",11025
"95",2020,7,10,"diosdado",10818
"96",2020,7,11,"covid",10122
"97",2020,7,11,"trump",7322
"98",2020,7,11,"lopezobrador",5180
"99",2020,7,11,"gatell",4401
"100",2020,7,11,"diosdado",3813
"101",2020,7,12,"covid",9122
"102",2020,7,12,"joedson alves",6104
"103",2020,7,12,"nicolasmaduro",5609
"104",2020,7,12,"gatell",5093
"105",2020,7,12,"trump",4172
"106",2020,7,13,"karol g",13187
"107",2020,7,13,"covid",9265
"108",2020,7,13,"lopezobrador",6871
"109",2020,7,13,"amlo",4614
"110",2020,7,13,"tusa",4543
"111",2020,7,14,"covid",7561
"112",2020,7,14,"nicolasmaduro",5236
"113",2020,7,14,"sánchez",3867
"114",2020,7,14,"andy kusnetzoff",3587
"115",2020,7,14,"janogarcia",2834
"116",2020,7,15,"covid",7568
"117",2020,7,15,"nicolasmaduro",7553
"118",2020,7,15,"d’elía",5506
"119",2020,7,15,"""""luis delia""""",4304
"120",2020,7,15,"realdonaldtrump",3612
"121",2020,7,16,"covid",11365
"122",2020,7,16,"nicolasmaduro",5162
"123",2020,7,16,"benzema",3983
"124",2020,7,16,"sánchez",3397
"125",2020,7,16,"aroa lópez",3379
"126",2020,7,17,"fernanmarmol",13320
"127",2020,7,17,"aaleessaandraaa",11087
"128",2020,7,17,"covid",10820
"129",2020,7,17,"sergioramos",3992
"130",2020,7,17,"debbymmorales",3451
"131",2020,7,18,"debbymmorales",17187
"132",2020,7,18,"fernanmarmol",12835
"133",2020,7,18,"covid",7946
"134",2020,7,18,"aleesampedro",5173
"135",2020,7,18,"davidmtzt",4205
"136",2020,7,19,"covid",12192
"137",2020,7,19,"nicolasmaduro",8004
"138",2020,7,19,"fernando simón",6827
"139",2020,7,19,"miguelmoiina",5189
"140",2020,7,19,"nelsonbocaranda",4424
"141",2020,7,30,"covid",10530
"142",2020,7,30,"nicolasmaduro",4281
"143",2020,7,30,"lopezobrador",3627
"144",2020,7,30,"steven calabresi",3588
"145",2020,7,30,"gustavobolivar",3429
"146",2020,7,31,"covid",12867
"147",2020,7,31,"nicolasmaduro",9458
"148",2020,7,31,"steven calabresi",4359
"149",2020,7,31,"lopezobrador",3454
"150",2020,7,31,"axel kicillof",2738
"151",2020,8,11,"putin",26884
"152",2020,8,11,"vladimir putin",12348
"153",2020,8,11,"covid",10206
"154",2020,8,11,"lopezobrador",7471
"155",2020,8,11,"nicolasespb",6313
"156",2020,8,12,"covid",11622
"157",2020,8,12,"lucianodurrmul2",8363
"158",2020,8,12,"pontifex",8222
"159",2020,8,12,"putin",7525
"160",2020,8,12,"lopezobrador",5976
"161",2020,8,13,"covid",11545
"162",2020,8,13,"darío vivas",9653
"163",2020,8,13,"amlo",9144
"164",2020,8,13,"fransmendi",7282
"165",2020,8,13,"jorge rodríguez",7069
"166",2020,8,14,"covid",18096
"167",2020,8,14,"anabelle",13342
"168",2020,8,14,"darío vivas",9660
"169",2020,8,14,"alvarouribevel",9628
"170",2020,8,14,"nicolasmaduro",8545
"171",2020,8,15,"covid",15829
"172",2020,8,15,"nicolasmaduro",15622
"173",2020,8,15,"uribe",4213
"174",2020,8,15,"lenin",3991
"175",2020,8,15,"lopezobrador",3945
"176",2020,8,16,"covid",26775
"177",2020,8,16,"oscaarg23",11466
"178",2020,8,16,"nicolasmaduro",10820
"179",2020,8,16,"lopezobrador",5649
"180",2020,8,16,"claudialopez",4395
"181",2020,8,17,"nicolasmaduro",18071
"182",2020,8,17,"covid",14441
"183",2020,8,17,"davo537",6287
"184",2020,8,17,"lopezobrador",5747
"185",2020,8,17,"miguel bosé",4429
"186",2020,8,18,"dr_calleja",14540
"187",2020,8,18,"covid",11740
"188",2020,8,18,"nicolasmaduro",9127
"189",2020,8,18,"mjuarezgzz",4244
"190",2020,8,18,"enfrmrasaturada",3438
"191",2020,8,19,"alfonsomoschen",18668
"192",2020,8,19,"covid",10824
"193",2020,8,19,"nicolasmaduro",6693
"194",2020,8,19,"morenit74613455",4466
"195",2020,8,19,"erasmo bolivar",3933
"196",2020,8,20,"covid",11114
"197",2020,8,20,"blancasaurioo",9443
"198",2020,8,20,"eduardo feinmann",7339
"199",2020,8,20,"nicolasmaduro",5146
"200",2020,8,20,"fernando simón",5096
"201",2020,8,21,"nicolasmaduro",9437
"202",2020,8,21,"solange",8860
"203",2020,8,21,"covid",7176
"204",2020,8,21,"joseantonio",6010
"205",2020,8,21,"estefaniasoto90",4563
"206",2020,8,22,"nicolasmaduro",18257
"207",2020,8,22,"thomka",7998
"208",2020,8,22,"covid",7662
"209",2020,8,22,"sergiocayu",6571
"210",2020,8,22,"alexagomez2000",5549
"211",2020,8,23,"covid",14414
"212",2020,8,23,"macri",9923
"213",2020,8,23,"alberto fernández",8396
"214",2020,8,23,"nicolasmaduro",6803
"215",2020,8,23,"presidente",5220
"216",2020,8,25,"covid",10077
"217",2020,8,25,"sánchez",7573
"218",2020,8,25,"escotopaloma",5128
"219",2020,8,25,"erasmo bolívar",4496
"220",2020,8,25,"camicattaneoo",4341
"221",2020,8,26,"covid",11205
"222",2020,8,26,"sánchez",10653
"223",2020,8,26,"ferreirapatty10",10110
"224",2020,8,26,"messi",7914
"225",2020,8,26,"camicattaneoo",6723
"226",2020,8,27,"covid",17493
"227",2020,8,27,"maribelskies",10847
"228",2020,8,27,"dolores94844957",5421
"229",2020,8,27,"celaá",4446
"230",2020,8,27,"santi",4358
"231",2020,8,28,"covid",9647
"232",2020,8,28,"maribelskies",6091
"233",2020,8,28,"soyalbertosamid",5381
"234",2020,8,28,"goldfarb",5366
"235",2020,8,28,"baby etchecopar",4329
"236",2020,8,29,"covid",11219
"237",2020,8,29,"nataliahdzgn",10673
"238",2020,8,29,"nicolasmaduro",6594
"239",2020,8,29,"bachi",5211
"240",2020,8,29,"carlosloret",3632
"241",2020,8,30,"covid",8048
"242",2020,8,30,"nicolasmaduro",7243
"243",2020,8,30,"piñera",5446
"244",2020,8,30,"yunaaisy",4969
"245",2020,8,30,"mippcivzla",3690
"246",2020,9,1,"covid",15504
"247",2020,9,1,"guido",12887
"248",2020,9,1,"pedro cavadas",11106
"249",2020,9,1,"juanitagroisman",10166
"250",2020,9,1,"guido kaczka",5412
"251",2020,9,2,"covid",5972
"252",2020,9,2,"guido",2410
"253",2020,9,2,"guido kaczka",2383
"254",2020,9,2,"ayuso",2084
"255",2020,9,2,"diego86maradona",1515
"256",2020,9,5,"covid",10814
"257",2020,9,5,"nicolasmaduro",3651
"258",2020,9,5,"dcabellor",3376
"259",2020,9,5,"mippcivzla",2732
"260",2020,9,5,"alexagomez2000",2473
"261",2020,9,6,"covid",687
"262",2020,9,6,"joselito",627
"263",2020,9,6,"joseantoniokast",350
"264",2020,9,6,"nicolasmaduro",322
"265",2020,9,6,"dcabellor",311
"266",2020,9,7,"covid",2872
"267",2020,9,7,"nicolasmaduro",1799
"268",2020,9,7,"pablocano",1645
"269",2020,9,7,"chauoperetak",1276
"270",2020,9,7,"jiménez héctor federico",1014
"271",2020,9,9,"covid",723
"272",2020,9,9,"enriquekrauze",371
"273",2020,9,9,"nicolasmaduro",314
"274",2020,9,9,"flavio fridegotto",264
"275",2020,9,9,"presidente",249
"276",2020,9,10,"nicolasmaduro",8468
"277",2020,9,10,"covid",6490
"278",2020,9,10,"trump",5049
"279",2020,9,10,"mippcivzla",3545
"280",2020,9,10,"cirogomezl",1886
"281",2020,9,11,"nicolasmaduro",12990
"282",2020,9,11,"covid",9793
