"","Year","Month","Text","Count"
"1",2020,2,"coronavirus",74612
"2",2020,2,"covid-19",10950
"3",2020,2,"ibuprofeno",6973
"4",2020,2,"covid19",5823
"5",2020,2,"mobile world congress",2576
"6",2020,4,"covid-19",63272
"7",2020,4,"covid",22514
"8",2020,4,"coronavirus",21717
"9",2020,4,"covid19",18207
"10",2020,4,"sars-cov-2",7954
"11",2020,5,"covid-19",210229
"12",2020,5,"covid",83597
"13",2020,5,"coronavirus",77851
"14",2020,5,"covid19",77479
"15",2020,5,"8m",18871
"16",2020,6,"covid-19",254199
"17",2020,6,"covid19",129735
"18",2020,6,"coronavirus",91839
"19",2020,6,"covid",85943
"20",2020,6,"twitter",13935
"21",2020,7,"covid-19",235985
"22",2020,7,"covid",117075
"23",2020,7,"covid19",117040
"24",2020,7,"coronavirus",64607
"25",2020,7,"cov",13408
"26",2020,8,"covid-19",1799164
"27",2020,8,"covid19",947625
"28",2020,8,"covid",837824
"29",2020,8,"coronavirus",399595
"30",2020,8,"covidー19",29967
"31",2020,9,"covid-19",1569777
"32",2020,9,"covid19",915478
"33",2020,9,"covid",788032
"34",2020,9,"coronavirus",388307
"35",2020,9,"pcr",38866
"36",2020,10,"covid-19",1279739
"37",2020,10,"covid19",781673
"38",2020,10,"covid",680860
"39",2020,10,"coronavirus",340673
"40",2020,10,"venezuelavenciendoalcovid19",19153
"41",2020,11,"covid-19",1273514
"42",2020,11,"covid",751340
"43",2020,11,"covid19",742856
"44",2020,11,"coronavirus",291165
"45",2020,11,"ganemoslabatallaalcovid19",33403
"46",2020,12,"covid-19",1989469
"47",2020,12,"covid",1180302
"48",2020,12,"covid19",1014225
"49",2020,12,"coronavirus",468970
"50",2020,12,"cuídatedelcovid19",50418
"51",2021,1,"covid-19",2915609
"52",2021,1,"covid",1751451
"53",2021,1,"covid19",1517001
"54",2021,1,"coronavirus",560786
"55",2021,1,"combatealcovid19",51619
"56",2021,2,"covid-19",2029824
"57",2021,2,"covid19",1119916
"58",2021,2,"covid",1093480
"59",2021,2,"coronavirus",347430
"60",2021,2,"sputnik v",31862
"61",2021,3,"covid-19",3006486
"62",2021,3,"covid19",1808123
"63",2021,3,"covid",1548849
"64",2021,3,"coronavirus",487073
"65",2021,3,"activoscontraelvirus",71026
"66",2021,4,"covid-19",3413280
"67",2021,4,"covid",1721260
"68",2021,4,"covid19",1475546
"69",2021,4,"coronavirus",406865
"70",2021,4,"lacovidnoesjuego",88437
"71",2021,5,"covid-19",1365906
"72",2021,5,"covid",1043377
"73",2021,5,"covid19",813762
"74",2021,5,"coronavirus",190568
"75",2021,5,"fuertescontralacovid",57146
"76",2021,6,"covid-19",1213903
"77",2021,6,"covid",1101525
"78",2021,6,"covid19",819966
"79",2021,6,"coronavirus",167747
"80",2021,6,"delta",76846
"81",2021,7,"covid-19",771313
"82",2021,7,"covid",638522
"83",2021,7,"covid19",561285
"84",2021,7,"coronavirus",102500
"85",2021,7,"delta",65304
