"","Year","Month","Text","Count"
"1",2020,2,"pauletta",7520
"2",2020,2,"lopezobrador",2793
"3",2020,2,"leonor",2428
"4",2020,2,"amlo",2290
"5",2020,2,"eileenornot",2236
"6",2020,4,"alfredodelmazo",8677
"7",2020,4,"malbran",6050
"8",2020,4,"bill gates",4102
"9",2020,4,"pablo casado",3948
"10",2020,4,"casado",3523
"11",2020,5,"covid",11850
"12",2020,5,"serranoismael",10388
"13",2020,5,"alfredodelmazo",9964
"14",2020,5,"nicolasmaduro",6463
"15",2020,5,"idiazayuso",4576
"16",2020,6,"irene montero",33370
"17",2020,6,"covid",24520
"18",2020,6,"vidal",14507
"19",2020,6,"lopezobrador",9245
"20",2020,6,"josé julián buelvas",9002
"21",2020,7,"covid",34217
"22",2020,7,"nicolasmaduro",13739
"23",2020,7,"fernanmarmol",13320
"24",2020,7,"aaleessaandraaa",11087
"25",2020,7,"steven calabresi",7947
"26",2020,8,"covid",239133
"27",2020,8,"nicolasmaduro",122358
"28",2020,8,"putin",34409
"29",2020,8,"lopezobrador",28788
"30",2020,8,"darío vivas",19313
"31",2020,9,"covid",243437
"32",2020,9,"nicolasmaduro",154801
"33",2020,9,"ayuso",60354
"34",2020,9,"trump",29471
"35",2020,9,"manuelbartual",17313
"36",2020,10,"covid",233521
"37",2020,10,"trump",157651
"38",2020,10,"nicolasmaduro",73374
"39",2020,10,"sánchez",36361
"40",2020,10,"cristiano ronaldo",26285
"41",2020,11,"covid",210390
"42",2020,11,"nicolasmaduro",97983
"43",2020,11,"trump",43573
"44",2020,11,"mippcivzla",40489
"45",2020,11,"nyscalo",32806
"46",2020,12,"covid",254613
"47",2020,12,"nicolasmaduro",174046
"48",2020,12,"mippcivzla",112598
"49",2020,12,"armando manzanero",36031
"50",2020,12,"alvaradoc",23665
"51",2021,1,"covid",471356
"52",2021,1,"nicolasmaduro",356101
"53",2021,1,"mippcivzla",154535
"54",2021,1,"lopezobrador",66552
"55",2021,1,"amlo",60808
"56",2021,2,"covid",267657
"57",2021,2,"nicolasmaduro",241461
"58",2021,2,"mippcivzla",104536
"59",2021,2,"lopezobrador",53059
"60",2021,2,"ibaillanos",34361
"61",2021,3,"nicolasmaduro",504457
"62",2021,3,"covid",363827
"63",2021,3,"mippcivzla",324999
"64",2021,3,"alfredodelmazo",40268
"65",2021,3,"maduro",35384
"66",2021,4,"nicolasmaduro",474447
"67",2021,4,"covid",462814
"68",2021,4,"mippcivzla",374734
"69",2021,4,"alberto fernández",32656
"70",2021,4,"alicia53532006",23160
"71",2021,5,"covid",338293
"72",2021,5,"nicolasmaduro",79030
"73",2021,5,"mippcivzla",52734
"74",2021,5,"andrea meza",21938
"75",2021,5,"roña castro",13920
"76",2021,6,"covid",273423
"77",2021,6,"robertogarrdner",34627
"78",2021,6,"felipecalderon",28380
"79",2021,6,"raquelstrr",22974
"80",2021,6,"lucigoddoy",18955
"81",2021,7,"covid",152463
"82",2021,7,"diazcanelb",25451
"83",2021,7,"nicolasmaduro",14759
"84",2021,7,"orianaggi",13386
"85",2021,7,"isaac",13320
